id,映射[text_i18n]
9000233,90002331
9000234,90002341
9000235,90002351
9000236,90002361
9000237,90002371
9000238,90002381
9000239,90002391
9000240,90002401
9000241,90002411
9000242,90002421
9000243,90002431
9000244,90002441
9000245,90002451
9000246,90002461
9000247,90002471
9000248,90002481
9000249,90002491
9000250,90002501
9000251,90002511
9000252,90002521
9000253,90002531
9000254,90002541
9000255,90002551
9000256,90002561
9000257,90002571
9000258,90002581
9000259,90002591
9000260,90002601
9000261,90002611
9000262,90002621
9000263,90002631
9000264,90002641
9000265,90002651
9000266,90002661
9000267,90002671
9000268,90002681
9000269,90002691
9000270,90002701
9000271,90002711
9000272,90002721
9000273,90002731
9000274,90002741
9000275,90002751
9000276,90002761
9000277,90002771
9000278,90002781
9000279,90002791
9000280,90002801
9000281,90002811
9000282,90002821
9000283,90002831
9000284,90002841
9000285,90002851
9000286,90002861
9000287,90002871
9000288,90002881
9000289,90002891
9000290,90002901
9000291,90002911
9000292,90002921
9000293,90002931
9000294,90002941
9000295,90002951
9000296,90002961
9000297,90002971
9000298,90002981
9000299,90002991
9000300,90003001
9000301,90003011
9000302,90003021
9000303,90003031
9000304,90003041
9000305,90003051
9000306,90003061
9000307,90003071
9000308,90003081
9000309,90003091
9000310,90003101
9000311,90003111
9000312,90003121
9000313,90003131
9000314,90003141
9000315,90003151
9000316,90003161
9000317,90003171
9000318,90003181
9000319,90003191
9000320,90003201
9000321,90003211
9000322,90003221
9000323,90003231
9000324,90003241
9000325,90003251
9000326,90003261
9000327,90003271
9000328,90003281
9000329,90003291
9000330,90003301
9000331,90003311
9000332,90003321
9000333,90003331
9000334,90003341
9000335,90003351
9000336,90003361
9000337,90003371
9000338,90003381
9000339,90003391
9000340,90003401
9000341,90003411
9000342,90003421
9000343,90003431
9000344,90003441
9000345,90003451
9000346,90003461
9000347,90003471
9000348,90003481
9000349,90003491
9000350,90003501
9000351,90003511
9000352,90003521
9000353,90003531
9000354,90003541
9000355,90003551
9000356,90003561
9000357,90003571
9000358,90003581
9000359,90003591
9000360,90003601
9000361,90003611
9000362,90003621
9000363,90003631
9000364,90003641
9000365,90003651
9000366,90003661
9000367,90003671
9000368,90003681
9000369,90003691
9000370,90003701
9000371,90003711
9000372,90003721
9000373,90003731
9000374,90003741
9000375,90003751
9000376,90003761
9000377,90003771
9000378,90003781
9000379,90003791
9000380,90003801
9000381,90003811
9000382,90003821
9000383,90003831
9000384,90003841
9000385,90003851
9000386,90003861
9000387,90003871
9000388,90003881
9000389,90003891
9000390,90003901
9000391,90003911
9000392,90003921
9000393,90003931
9000394,90003941
9000395,90003951
9000396,90003961
9000397,90003971
9000398,90003981
9000399,90003991
9000400,90004001
9000401,90004011
9000402,90004021
9000403,90004031
9000404,90004041
9000405,90004051
9000406,90004061
9000407,90004071
9000408,90004081
9000409,90004091
9000410,90004101
9000411,90004111
9000412,90004121
9000413,90004131
9000414,90004141
9000415,90004151
9000416,90004161
9000417,90004171
9000418,90004181
9000419,90004191
9000420,90004201
9000421,90004211
9000422,90004221
9000423,90004231
9000424,90004241
9000425,90004251
9000426,90004261
9000427,90004271
9000428,90004281
9000429,90004291
9000430,90004301
9000431,90004311
9000432,90004321
9000433,90004331
9000434,90004341
9000435,90004351
9000436,90004361
9000437,90004371
9000438,90004381
9000439,90004391
9000440,90004401
9000441,90004411
9000442,90004421
9000443,90004431
9000444,90004441
9000445,90004451
9000446,90004461
9000447,90004471
9000448,90004481
9000449,90004491
9000450,90004501
9000451,90004511
9000452,90004521
9000453,90004531
9000454,90004541
9000455,90004551
9000456,90004561
9000457,90004571
9000458,90004581
9000459,90004591
9000460,90004601
9000461,90004611
9000462,90004621
9000463,90004631
9000464,90004641
9000465,90004651
9000466,90004661
9000467,90004671
9000468,90004681
9000469,90004691
9000470,90004701
9000471,90004711
9000472,90004721
9000473,90004731
9000474,90004741
9000475,90004751
9000476,90004761
9000477,90004771
9000478,90004781
9000479,90004791
9000480,90004801
9000481,90004811
9000482,90004821
9000483,90004831
9000484,90004841
9000485,90004851
9000486,90004861
9000487,90004871
9000488,90004881
9000489,90004891
9000490,90004901
9000491,90004911
9000492,90004921
9000493,90004931
9000494,90004941
9000495,90004951
9000496,90004961
9000497,90004971
9000498,90004981
9000499,90004991
9000500,90005001
9000501,90005011
9000502,90005021
9000503,90005031
9000504,90005041
9000505,90005051
9000506,90005061
9000507,90005071
9000508,90005081
9000509,90005091
9000510,90005101
9000511,90005111
9000512,90005121
9000513,90005131
9000514,90005141
9000515,90005151
9000516,90005161
9000517,90005171
9000518,90005181
9000519,90005191
9000520,90005201
9000521,90005211
9000522,90005221
9000523,90005231
9000524,90005241
9000525,90005251
9000526,90005261
9000527,90005271
9000528,90005281
9000529,90005291
9000530,90005301
9000531,90005311
9000532,90005321
9000533,90005331
9000534,90005341
9000535,90005351
9000536,90005361
9000537,90005371
9000538,90005381
9000539,90005391
9000540,90005401
9000541,90005411
9000542,90005421
9000543,90005431
9000544,90005441
9000545,90005451
9000546,90005461
9000547,90005471
9000548,90005481
9000549,90005491
9000550,90005501
9000551,90005511
9000552,90005521
9000553,90005531
9000554,90005541
9000555,90005551
9000556,90005561
9000557,90005571
9000558,90005581
9000559,90005591
9000560,90005601
9000561,90005611
9000562,90005621
9000563,90005631
9000564,90005641
9000565,90005651
9000566,90005661
9000567,90005671
9000568,90005681
9000569,90005691
9000570,90005701
9000571,90005711
9000572,90005721
9000573,90005731
9000574,90005741
9000575,90005751
9000576,90005761
9000577,90005771
9000578,90005781
9000579,90005791
9000580,90005801
9000581,90005811
9000582,90005821
9000583,90005831
9000584,90005841
9000585,90005851
9000586,90005861
9000587,90005871
9000588,90005881
9000589,90005891
9000590,90005901
9000591,90005911
9000592,90005921
9000593,90005931
9000594,90005941
9000595,90005951
9000596,90005961
9000597,90005971
9000598,90005981
9000599,90005991
9000600,90006001
9000601,90006011
9000602,90006021
9000603,90006031
9000604,90006041
9000605,90006051
9000606,90006061
9000607,90006071
9000608,90006081
9000609,90006091
9000610,90006101
9000611,90006111
9000612,90006121
9000613,90006131
9000614,90006141
9000615,90006151
9000616,90006161
9000617,90006171
9000618,90006181
9000619,90006191
9000620,90006201
9000621,90006211
9000622,90006221
9000623,90006231
9000624,90006241
9000625,90006251
9000626,90006261
9000627,90006271
9000628,90006281
9000629,90006291
9000630,90006301
9000631,90006311
9000632,90006321
9000633,90006331
9000634,90006341
9000635,90006351
9000636,90006361
9000637,90006371
9000638,90006381
9000639,90006391
9000640,90006401
9000641,90006411
9000642,90006421
9000643,90006431
9000644,90006441
9000645,90006451
9000646,90006461
9000647,90006471
9000648,90006481
9000649,90006491
9000650,90006501
9000651,90006511
9000652,90006521
9000653,90006531
9000654,90006541
9000655,90006551
9000656,90006561
9000657,90006571
9000658,90006581
9000659,90006591
9000660,90006601
9000661,90006611
9000662,90006621
9000663,90006631
9000664,90006641
9000665,90006651
9000666,90006661
9000667,90006671
9000668,90006681
9000669,90006691
9000670,90006701
9000671,90006711
9000672,90006721
9000673,90006731
9000674,90006741
9000675,90006751
9000676,90006761
9000677,90006771
9000678,90006781
9000679,90006791
9000680,90006801
9000681,90006811
9000682,90006821
9000683,90006831
9000684,90006841
9000685,90006851
9000686,90006861
9000687,90006871
9000688,90006881
9000689,90006891
9000690,90006901
9000691,90006911
9000692,90006921
9000693,90006931
9000694,90006941
9000695,90006951
9000696,90006961
9000697,90006971
9000698,90006981
9000699,90006991
9000700,90007001
9000701,90007011
9000702,90007021
9000703,90007031
9000704,90007041
9000705,90007051
9000706,90007061
9000707,90007071
9000708,90007081
9000709,90007091
9000710,90007101
9000711,90007111
9000712,90007121
9000713,90007131
9000714,90007141
9000715,90007151
9000716,90007161
9000717,90007171
9000718,90007181
9000719,90007191
9000720,90007201
9000721,90007211
9000722,90007221
9000723,90007231
9000724,90007241
9000725,90007251
9000726,90007261
9000727,90007271
9000728,90007281
9000729,90007291
9000730,90007301
9000731,90007311
9000732,90007321
9000733,90007331
9000734,90007341
9000735,90007351
9000736,90007361
9000737,90007371
9000738,90007381
9000739,90007391
9000740,90007401
9000741,90007411
9000742,90007421
9000743,90007431
9000744,90007441
9000745,90007451
9000746,90007461
9000747,90007471
9000748,90007481
9000749,90007491
9000750,90007501
9000751,90007511
9000752,90007521
9000753,90007531
9000754,90007541
9000755,90007551
9000756,90007561
9000757,90007571
9000758,90007581
9000759,90007591
9000760,90007601
9000761,90007611
9000762,90007621
9000763,90007631
9000764,90007641
9000765,90007651
9000766,90007661
9000767,90007671
9000768,90007681
9000769,90007691
9000770,90007701
9000771,90007711
9000772,90007721
9000773,90007731
9000774,90007741
9000775,90007751
9000776,90007761
9000777,90007771
9000778,90007781
9000779,90007791
9000780,90007801
9000781,90007811
9000782,90007821
9000783,90007831
9000784,90007841
9000785,90007851
9000786,90007861
9000787,90007871
9000788,90007881
9000789,90007891
9000790,90007901
9000791,90007911
9000792,90007921
9000793,90007931
9000794,90007941
9000795,90007951
9000796,90007961
9000797,90007971
9000798,90007981
9000799,90007991
9000800,90008001
9000801,90008011
9000802,90008021
9000803,90008031
9000804,90008041
9000805,90008051
9000806,90008061
9000807,90008071
9000808,90008081
9000809,90008091
9000810,90008101
9000811,90008111
9000812,90008121
9000813,
9000814,90008141
9000815,90008151
9000816,90008161
9000817,90008171
9000818,90008181
9000819,90008191
9000820,90008201
9000821,90008211
9000822,90008221
9000823,90008231
9000824,90008241
9000825,90008251
9000826,90008261
9000827,90008271
9000828,90008281
9000829,90008291
9000830,90008301
9000831,90008311
9000832,90008321
9000833,90008331
9000834,90008341
9000835,90008351
9000836,90008361
9000837,90008371
9000838,90008381
9000839,90008391
9000840,90008401
9000841,90008411
9000842,90008421
9000843,90008431
9000844,90008441
9000845,90008451
9000846,90008461
9000847,90008471
9000848,90008481
9000849,90008491
9000850,90008501
9000851,90008511
9000852,90008521
9000853,90008531
