id,图标,按钮,名称,文本2,不知道,不知道,描述,不知道,不知道,不知道,不知道
441,sprite/common/common/icon/mark/icon_tinygame3.png,,4410,,1,1.5,4412,HamsterController,6000025,0,
442,sprite/common/common/icon/mark/icon_classroom.png,,4420,,1,1.5,4422,TownController,6000013,0,
443,sprite/common/common/icon/mark/icon_homework.png,,4430,,0,,,LobbyController,6000013,0,
444,sprite/common/common/icon/mark/icon_homework.png,,4440,,0,,,LobbyController,6000014,0,
445,sprite/common/common/icon/mark/icon_homework.png,,4450,,0,,,LobbyController,6000014,0,
446,sprite/common/common/icon/mark/icon_homework.png,,4460,,0,,,LobbyController,6000014,0,
447,sprite/common/common/icon/mark/icon_mission.png,,4470,,0,,,LobbyController,6000018,0,
448,sprite/common/common/icon/mark/icon_mission.png,,4480,,0,,,LobbyController,6000018,0,
449,sprite/common/common/icon/mark/icon_mission.png,,4490,,0,,,LobbyController,0,0,
450,sprite/common/common/icon/mark/icon_mission.png,,4500,,0,,,TownController,0,0,
451,sprite/common/common/icon/mark/icon_mission.png,,4510,,0,,,LobbyController,6000014,0,
452,sprite/common/common/icon/mark/icon_mission.png,,4520,,0,,,PottingController,6000038,0,
453,sprite/common/item/icon/coin/item_608.png,,4530,,1,1.5,4532,,6000033,0,
454,sprite/common/common/btn_icon/btn_shop.png,,4540,,1,1.5,4542,LobbyController,6000014,0,
455,sprite/common/common/btn_icon/btn_pigbank1.png,,4550,,0,,,LobbyController,6000014,0,
456,sprite/common/common/icon/mark/icon_mission.png,,4560,,0,,,LobbyController,0,0,
457,sprite/common/common/icon/mark/icon_gossip2.png,,4570,,0,,,TownController,6000040,0,
458,sprite/common/common/icon/mark/icon_mission.png,,4580,,0,,,LobbyController,6000018,0,
459,sprite/common/common/icon/mark/icon_mission.png,,4590,,0,,,,0,0,
460,sprite/common/common/btn/btn_func_community.png,,4600,,0,,,LobbyController,0,0,
461,sprite/common/common/icon/mark/icon_mission.png,,4610,,0,,,LobbyController,6000014,0,
462,sprite/common/common/icon/mark/icon_mission.png,,4620,,0,,,LobbyController,6000035,0,
463,sprite/common/common/icon/mark/icon_mission.png,,4630,,0,,,LobbyController,6000018,0,
464,sprite/common/common/icon/mark/icon_mission.png,,4640,,0,,,LobbyController,6000018,0,
465,sprite/common/common/icon/mark/icon_mission.png,,4650,,0,,,LobbyController,6000018,0,
