id,标题,描述,备注,主支线,不知道,No.,发布人,不知道,不知道,不知道,不知道,不知道,不知道,任务内容,数量,需求,需求2,主要奖励,下个解锁[task],金币奖励,影响力奖励,不知道,不知道,不知道,不知道,不知道,不知道,不知道
6000030,60000300,60000301,60000302,1,0,34,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,32,418|0,0,109,10,0,0,2000033,"[6000031, 6002000]",250,50,0,0,422|0,0,,,
6000031,60000310,60000311,60000312,1,0,35,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,32,,,418|0,0,145,1,100017,0,2000034,[6000032],250,50,0,0,412|100017,0,,,
6000032,60000320,60000321,60000322,1,0,36,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,140,6,100017,0,2000035,[6000033],250,50,0,0,407|0,0,,,
6000033,60000330,60000331,60000332,1,0,37,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,110,2,6,0,2000036,[6001001],250,50,0,0,406|0,0,,,
6000034,60000340,60000341,60000342,1,0,39,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,100017,0,2000038,[6000035],250,50,0,0,412|100017,0,,,
6000035,60000350,60000351,60000352,1,0,40,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,140,6,100017,0,2000039,"[6001004, 6005000]",250,50,0,0,407|0,0,,,
6000036,60000360,60000361,60000362,1,0,42,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,37,,,418|0,0,148,1,0,0,2000041,[6000037],300,50,0,0,419|0,0,,,
6000037,60000370,60000371,60000372,1,0,43,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,116,10,0,0,2000042,[6000038],300,50,0,0,409|0,0,,,
6000038,60000380,60000381,60000382,1,0,44,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,41,418|0,0,122,3,2,0,2000043,[6000039],300,50,0,0,406|2,0,,,
6000039,60000390,60000391,60000392,1,0,45,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,41,,42,418|0,0,128,6,7004,0,2000044,[6000040],300,50,0,0,407|0,0,,,
6000040,60000400,60000401,60000402,1,0,46,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,42,,43,418|0,0,151,5,0,0,2000045,[6000041],300,50,0,0,410|0,0,,,
6000041,60000410,60000411,60000412,1,0,47,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,43,,44,418|0,0,110,2,4,0,2000046,[6000042],300,50,0,0,406|4,0,,,
6000042,60000420,60000421,60000422,1,0,48,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,44,,45,418|0,0,116,10,0,0,2000047,[6000043],300,50,0,0,409|0,0,,,
6000043,60000430,60000431,60000432,1,0,49,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,45,,,418|0,0,111,3,0,0,2000048,[6000044],300,50,0,0,407|0,0,,,
6000044,60000440,60000441,60000442,1,0,50,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,114,60,100017,0,2000049,[6000045],300,50,0,0,412|100017,0,,,
6000045,60000450,60000451,60000452,1,0,51,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,125,1,0,0,2000050,[6000046],350,50,0,0,415|0,0,,,
6000046,60000460,60000461,60000462,1,0,52,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,145,2,100017,0,2000051,[6000047],350,50,0,0,412|100017,0,,,
6000047,60000470,60000471,60000472,1,0,53,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,140,10,100017,0,2000052,[6000048],350,50,0,0,407|0,0,,,
6000048,60000480,60000481,60000482,1,0,54,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,5,1003,0,2000053,[6000049],350,50,0,0,406|6,0,,,
6000049,60000490,60000491,60000492,1,0,55,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,52,418|0,0,137,2,7000005,0,2000054,[6000050],350,50,0,0,,7000005,,,
6000050,60000500,60000501,60000502,1,0,56,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,52,,53,418|0,0,148,1,0,0,2000055,[6000051],350,50,0,0,419|0,0,,,
6000051,60000510,60000511,60000512,1,0,57,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,53,,54,418|0,0,123,15,0,0,2000056,[6000052],350,50,0,0,421|0,0,,,
6000052,60000520,60000521,60000522,1,0,58,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,54,,55,418|0,0,144,30,9012,0,2000057,[6000053],350,50,0,0,422|0,0,,,
6000053,60000530,60000531,60000532,1,0,59,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,55,,56,418|0,0,151,10,0,0,2000058,[6000054],350,50,0,0,410|0,0,,,
6000054,60000540,60000541,60000542,1,0,60,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,56,,57,418|0,0,142,14400,2,0,2000059,[6000055],350,50,0,0,406|0,0,,,
6000055,60000550,60000551,60000552,1,0,61,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,57,,,418|0,0,136,5,90053,0,2000060,"[6000056, 6003000]",400,50,0,0,409|9005,0,,,
6000056,60000560,60000561,60000562,1,0,62,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,20,0,0,2000061,[6001005],400,50,0,0,422|0,0,,,
6000057,60000570,60000571,60000572,1,0,64,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,2000063,[6000058],400,50,0,0,412|0,0,,,
6000058,60000580,60000581,60000582,1,0,65,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7001,0,2000064,[6000059],400,50,0,0,407|0,0,,,
6000059,60000590,60000591,60000592,1,0,66,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,1,0,0,2000065,[6000060],400,50,0,0,419|0,0,,,
6000060,60000600,60000601,60000602,1,0,67,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,149,1,0,0,2000066,[6000061],400,50,0,0,405|0,0,,,
6000061,60000610,60000611,60000612,1,0,68,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,2,7000006,0,2000067,[6000062],400,50,0,0,,7000006,,,
6000062,60000620,60000621,60000622,1,0,69,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,25,0,0,2000068,[6000063],400,50,0,0,421|0,0,,,
6000063,60000630,60000631,60000632,1,0,70,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,150,3000,0,0,2000069,[6000064],400,50,0,0,410|0,0,,,
6000064,60000640,60000641,60000642,1,0,71,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,67,418|0,0,114,70,100017,0,2000070,[6000065],450,50,0,0,412|100017,0,,,
6000065,60000650,60000651,60000652,1,0,72,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,67,,,418|0,0,136,5,90293,0,2000071,[6000066],450,50,0,0,409|9029,0,,,
6000066,60000660,60000661,60000662,1,0,73,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,69,418|0,0,143,1,0,0,2000072,[6000067],450,50,0,0,412|0,0,,,
6000067,60000670,60000671,60000672,1,0,74,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,69,,,418|0,0,142,14400,2,0,2000073,[6000068],450,50,0,0,406|2,0,,,
6000068,60000680,60000681,60000682,1,0,75,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,71,418|0,0,148,1,0,0,2000074,[6000069],450,50,0,0,419|0,0,,,
6000069,60000690,60000691,60000692,1,0,76,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,71,,,418|0,0,128,10,1006,0,2000075,[6000070],450,50,0,0,406|2,0,,,
6000070,60000700,60000701,60000702,1,0,77,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,25,0,0,2000076,[6000071],450,50,0,0,422|0,0,,,
6000071,60000710,60000711,60000712,1,0,78,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,74,418|0,0,113,3,1,0,2000077,[6000072],450,50,0,0,407|0,0,,,
6000072,60000720,60000721,60000722,1,0,79,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,74,,,418|0,0,128,6,7014,0,2000078,[6000073],450,50,0,0,407|0,0,,,
6000073,60000730,60000731,60000732,1,0,80,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,135,10000,0,0,2000079,[6000074],450,50,0,0,422|0,0,,,
6000074,60000740,60000741,60000742,1,0,81,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,35,0,0,2000080,[6000075],500,50,0,0,421|0,0,,,
6000075,60000750,60000751,60000752,1,0,82,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,119,10,0,0,2000081,[6000076],500,50,0,0,408|4,0,,,
6000076,60000760,60000761,60000762,1,0,83,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000005,0,2000082,[6000077],500,50,0,0,,7000005,,,
6000077,60000770,60000771,60000772,1,0,84,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,80,418|0,0,142,3600,0,0,2000083,"[6000078, 6004000]",500,50,0,0,406|0,0,,,
6000078,60000780,60000781,60000782,1,0,85,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,80,,81,418|0,0,136,5,90223,0,2000084,[6000079],500,50,0,0,409|9022,0,,,
6000079,60000790,60000791,60000792,1,0,86,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,81,,,418|0,0,151,10,0,0,2000085,[6000080],500,50,0,0,410|0,0,,,
6000080,60000800,60000801,60000802,1,0,87,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7002,0,2000086,[6000081],500,50,0,0,407|0,0,,,
6000081,60000810,60000811,60000812,1,0,88,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,2000087,[6000082],500,50,0,0,412|0,0,,,
6000082,60000820,60000821,60000822,1,0,89,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,1,0,0,2000088,[6000083],500,50,0,0,419|0,0,,,
6000083,60000830,60000831,60000832,1,0,90,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7017,0,2000089,[6000084],500,50,0,0,407|0,0,,,
6000084,60000840,60000841,60000842,1,0,91,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,110,3,6,0,2000090,[6000085],500,50,0,0,406|6,0,,,
6000085,60000850,60000851,60000852,1,0,92,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,35,0,0,2000091,[6000086],500,50,0,0,422|0,0,,,
6000086,60000860,60000861,60000862,1,0,93,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,88,418|0,0,136,5,90383,0,2000092,[6000087],500,50,0,0,409|9038,0,,,
6000087,60000870,60000871,60000872,1,0,94,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,88,,,418|0,0,135,20000,0,0,2000093,[6000088],500,50,0,0,422|0,0,,,
6000088,60000880,60000881,60000882,1,0,95,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000006,0,2000094,[6000089],500,50,0,0,,7000006,,,
6000089,60000890,60000891,60000892,1,0,96,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,92,418|0,0,122,3,6,0,2000095,[6000090],500,50,0,0,406|6,0,,,
6000090,60000900,60000901,60000902,1,0,97,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,92,,,418|0,0,128,6,7006,0,2000096,[6000091],500,50,0,0,407|0,0,,,
6000091,60000910,60000911,60000912,1,0,98,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,124,2,0,0,2000097,[6000092],500,50,0,0,402|0,0,,,
6000092,60000920,60000921,60000922,1,0,99,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,1,0,0,2000098,[6000093],500,50,0,0,419|0,0,,,
6000093,60000930,60000931,60000932,1,0,100,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,144,20,9128,0,2000099,[6000094],500,50,0,0,422|0,0,,,
6000094,60000940,60000941,60000942,1,0,101,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,142,3600,6,0,2000100,[6000095],500,50,0,0,406|6,0,,,
6000095,60000950,60000951,60000952,1,0,102,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,50,0,0,2000101,[6001006],500,50,0,0,421|0,0,,,
6000096,60000960,60000961,60000962,1,0,107,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,98,,,418|0,0,151,15,0,0,2000106,[6000097],500,50,0,0,410|0,0,,,
6000097,60000970,60000971,60000972,1,0,108,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,2000107,[6000098],500,50,0,0,412|0,0,,,
6000098,60000980,60000981,60000982,1,0,109,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7007,0,2000108,[6000099],500,50,0,0,407|0,0,,,
6000099,60000990,60000991,60000992,1,0,110,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,136,5,90523,0,2000109,[6000100],500,50,0,0,409|9052,0,,,
6000100,60001000,60001001,60001002,1,0,111,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,40,0,0,2000110,[6001010],500,50,0,0,422|0,0,,,
6000101,60001010,60001011,60001012,1,0,117,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000007,0,2000116,[6000102],500,50,0,0,,7000007,,,
6000102,60001020,60001021,60001022,1,0,118,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,1025,0,2000117,[6000103],500,50,0,0,406|8,0,,,
6000103,60001030,60001031,60001032,1,0,119,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,55,0,0,2000118,[6000104],500,50,0,0,421|0,0,,,
6000104,60001040,60001041,60001042,1,0,120,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,136,5,90263,0,2000119,[6000105],500,50,0,0,409|9026,0,,,
6000105,60001050,60001051,60001052,1,0,121,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,1,0,0,2000120,[6000106],500,50,0,0,419|0,0,,,
6000106,60001060,60001061,60001062,1,0,122,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,113,2,5,0,2000121,[6000107],500,50,0,0,407|0,0,,,
6000107,60001070,60001071,60001072,1,0,123,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,144,20,9131,0,2000122,[6000108],500,50,0,0,422|0,0,,,
6000108,60001080,60001081,60001082,1,0,124,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,111,418|0,0,122,3,4,0,2000123,[6000109],500,50,0,0,406|4,0,,,
6000109,60001090,60001091,60001092,1,0,125,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,111,,,418|0,0,158,50000,0,0,2000124,[6001015],500,50,0,0,422|0,0,,,
6000110,60001100,60001101,60001102,1,0,131,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,120,6,0,0,2000130,[6000111],500,50,0,0,406|0,0,,,
6000111,60001110,60001111,60001112,1,0,132,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,116,10,0,0,2000131,[6000112],500,50,0,0,409|0,0,,,
6000112,60001120,60001121,60001122,1,0,133,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000008,0,2000132,[6000113],500,50,0,0,,7000008,,,
6000113,60001130,60001131,60001132,1,0,134,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,2000133,[6000114],500,50,0,0,412|0,0,,,
6000114,60001140,60001141,60001142,1,0,135,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,117,418|0,0,142,14400,2,0,2000134,[6000115],500,50,0,0,406|2,0,,,
6000115,60001150,60001151,60001152,1,0,136,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,117,,,418|0,0,136,5,90663,0,2000135,[6000116],500,50,0,0,409|9066,0,,,
6000116,60001160,60001161,60001162,1,0,137,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,142,3600,6,0,2000136,[6000117],500,50,0,0,406|6,0,,,
6000117,60001170,60001171,60001172,1,0,138,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,136,5,91333,0,2000137,[6000118],500,50,0,0,409|9133,0,,,
6000118,60001180,60001181,60001182,1,0,139,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,142,3600,4,0,2000138,[6001020],500,50,0,0,406|4,0,,,
