id,不知道,不知道,不知道
59,"[9899, 91, 10]","[8050, 1776, 174]",0
60,"[9897, 93, 10]","[8025, 1798, 177]",0
61,"[9895, 95, 10]","[8000, 1820, 180]",0
62,"[9893, 97, 10]","[7975, 1842, 183]",0
63,"[9891, 99, 10]","[7950, 1864, 186]",0
64,"[9889, 101, 10]","[7925, 1886, 189]",0
65,"[9886, 104, 10]","[7900, 1908, 192]",0
66,"[9884, 106, 10]","[7875, 1930, 195]",0
67,"[9882, 108, 10]","[7850, 1952, 198]",0
68,"[9880, 110, 10]","[7825, 1974, 201]",0
69,"[9877, 113, 10]","[7800, 1996, 204]",0
70,"[9875, 115, 10]","[7775, 2018, 207]",0
71,"[9873, 117, 10]","[7750, 2040, 210]",0
72,"[9870, 120, 10]","[7725, 2062, 213]",0
73,"[9868, 122, 10]","[7700, 2084, 216]",0
74,"[9865, 125, 10]","[7675, 2106, 219]",0
75,"[9863, 127, 10]","[7650, 2128, 222]",0
76,"[9860, 130, 10]","[7625, 2150, 225]",0
77,"[9857, 133, 10]","[7600, 2172, 228]",0
78,"[9855, 135, 10]","[7575, 2194, 231]",0
79,"[9852, 138, 10]","[7550, 2216, 234]",0
80,"[9849, 141, 10]","[7525, 2238, 237]",0
81,"[9846, 144, 10]","[7500, 2260, 240]",0
82,"[9843, 147, 10]","[7475, 2282, 243]",0
83,"[9840, 150, 10]","[7450, 2304, 246]",0
84,"[9837, 153, 10]","[7425, 2326, 249]",0
85,"[9834, 156, 10]","[7400, 2348, 252]",0
86,"[9831, 159, 10]","[7375, 2370, 255]",0
87,"[9828, 162, 10]","[7350, 2392, 258]",0
88,"[9825, 165, 10]","[7325, 2414, 261]",0
89,"[9821, 169, 10]","[7300, 2436, 264]",0
90,"[9818, 172, 10]","[7275, 2458, 267]",0
91,"[9815, 175, 10]","[7250, 2480, 270]",0
92,"[9811, 179, 10]","[7225, 2502, 273]",0
93,"[9808, 182, 10]","[7200, 2524, 276]",0
94,"[9804, 186, 10]","[7175, 2546, 279]",0
95,"[9800, 190, 10]","[7150, 2568, 282]",0
96,"[9797, 193, 10]","[7125, 2590, 285]",0
97,"[9793, 197, 10]","[7100, 2612, 288]",0
98,"[9789, 201, 10]","[7075, 2634, 291]",0
99,"[9785, 205, 10]","[7050, 2656, 294]",0
100,"[9781, 209, 10]","[7025, 2678, 297]",39
101,"[9777, 213, 10]","[7000, 2700, 300]",43
102,"[9773, 217, 10]","[6975, 2722, 303]",47
103,"[9769, 221, 10]","[6950, 2744, 306]",50
104,"[9764, 226, 10]","[6925, 2766, 309]",54
105,"[9760, 230, 10]","[6900, 2788, 312]",58
106,"[9756, 234, 10]","[6875, 2810, 315]",62
107,"[9751, 239, 10]","[6850, 2832, 318]",66
108,"[9747, 243, 10]","[6825, 2854, 321]",70
109,"[9742, 248, 10]","[6800, 2876, 324]",74
110,"[9737, 253, 10]","[6775, 2898, 327]",77
111,"[9733, 257, 10]","[6750, 2920, 330]",81
112,"[9728, 262, 10]","[6725, 2942, 333]",85
113,"[9723, 267, 10]","[6700, 2964, 336]",89
114,"[9718, 272, 10]","[6675, 2986, 339]",93
115,"[9713, 277, 10]","[6650, 3008, 342]",96
116,"[9708, 282, 10]","[6625, 3030, 345]",100
117,"[9702, 288, 10]","[6600, 3052, 348]",104
118,"[9697, 293, 10]","[6575, 3074, 351]",108
119,"[9692, 298, 10]","[6550, 3096, 354]",112
120,"[9686, 304, 10]","[6525, 3118, 357]",116
121,"[9680, 310, 10]","[6500, 3140, 360]",119
122,"[9675, 315, 10]","[6475, 3162, 363]",123
123,"[9669, 321, 10]","[6450, 3184, 366]",127
124,"[9663, 327, 10]","[6425, 3206, 369]",131
125,"[9657, 333, 10]","[6400, 3228, 372]",135
126,"[9651, 339, 10]","[6375, 3250, 375]",138
127,"[9645, 345, 10]","[6350, 3272, 378]",142
128,"[9639, 351, 10]","[6325, 3294, 381]",146
129,"[9633, 357, 10]","[6300, 3316, 384]",150
130,"[9626, 364, 10]","[6275, 3338, 387]",154
131,"[9620, 370, 10]","[6250, 3360, 390]",157
132,"[9613, 377, 10]","[6225, 3382, 393]",161
133,"[9606, 384, 10]","[6200, 3404, 396]",165
134,"[9599, 391, 10]","[6175, 3426, 399]",169
135,"[9593, 397, 10]","[6150, 3448, 402]",172
136,"[9586, 404, 10]","[6125, 3470, 405]",176
137,"[9578, 412, 10]","[6100, 3492, 408]",180
138,"[9571, 419, 10]","[6075, 3514, 411]",184
139,"[9564, 426, 10]","[6050, 3536, 414]",187
140,"[9556, 434, 10]","[6025, 3558, 417]",191
141,"[9549, 441, 10]","[6000, 3580, 420]",195
142,"[9541, 449, 10]","[5975, 3602, 423]",199
143,"[9533, 457, 10]","[5950, 3624, 426]",202
144,"[9526, 464, 10]","[5925, 3646, 429]",206
145,"[9518, 472, 10]","[5900, 3668, 432]",210
146,"[9509, 481, 10]","[5875, 3690, 435]",214
147,"[9501, 489, 10]","[5850, 3712, 438]",217
148,"[9493, 497, 10]","[5825, 3734, 441]",221
149,"[9484, 506, 10]","[5800, 3756, 444]",225
150,"[9476, 514, 10]","[5775, 3778, 447]",229
151,"[9467, 523, 10]","[5750, 3800, 450]",232
152,"[9458, 532, 10]","[5725, 3822, 453]",236
153,"[9449, 541, 10]","[5700, 3844, 456]",240
154,"[9440, 550, 10]","[5675, 3866, 459]",243
155,"[9431, 559, 10]","[5650, 3888, 462]",247
156,"[9422, 568, 10]","[5625, 3910, 465]",251
157,"[9412, 578, 10]","[5600, 3932, 468]",255
158,"[9403, 587, 10]","[5575, 3954, 471]",258
159,"[9393, 597, 10]","[5550, 3976, 474]",262
160,"[9383, 607, 10]","[5525, 3998, 477]",266
161,"[9373, 617, 10]","[5500, 4020, 480]",269
162,"[9363, 627, 10]","[5475, 4042, 483]",273
163,"[9353, 637, 10]","[5450, 4064, 486]",277
164,"[9342, 648, 10]","[5425, 4086, 489]",280
165,"[9332, 658, 10]","[5400, 4108, 492]",284
166,"[9321, 669, 10]","[5375, 4130, 495]",288
167,"[9310, 680, 10]","[5350, 4152, 498]",292
168,"[9300, 690, 10]","[5325, 4174, 501]",295
169,"[9288, 702, 10]","[5300, 4196, 504]",299
170,"[9277, 713, 10]","[5275, 4218, 507]",303
171,"[9266, 724, 10]","[5250, 4240, 510]",306
172,"[9254, 736, 10]","[5225, 4262, 513]",310
173,"[9243, 747, 10]","[5200, 4284, 516]",314
174,"[9231, 759, 10]","[5175, 4306, 519]",317
175,"[9219, 771, 10]","[5150, 4328, 522]",321
176,"[9207, 783, 10]","[5125, 4350, 525]",325
177,"[9195, 795, 10]","[5100, 4372, 528]",328
178,"[9182, 808, 10]","[5075, 4394, 531]",332
179,"[9170, 820, 10]","[5050, 4416, 534]",335
180,"[9157, 833, 10]","[5025, 4438, 537]",339
181,"[9144, 846, 10]","[5000, 4460, 540]",343
182,"[9131, 859, 10]","[4975, 4482, 543]",346
183,"[9118, 872, 10]","[4950, 4504, 546]",350
184,"[9104, 886, 10]","[4925, 4526, 549]",354
185,"[9091, 899, 10]","[4900, 4548, 552]",357
186,"[9077, 913, 10]","[4875, 4570, 555]",361
187,"[9063, 927, 10]","[4850, 4592, 558]",365
188,"[9049, 941, 10]","[4825, 4614, 561]",368
189,"[9035, 955, 10]","[4800, 4636, 564]",372
190,"[9021, 969, 10]","[4775, 4658, 567]",375
191,"[9006, 984, 10]","[4750, 4680, 570]",379
192,"[8992, 998, 10]","[4725, 4702, 573]",383
193,"[8977, 1013, 10]","[4700, 4724, 576]",386
194,"[8962, 1028, 10]","[4675, 4746, 579]",390
195,"[8946, 1044, 10]","[4650, 4768, 582]",393
196,"[8931, 1059, 10]","[4625, 4790, 585]",397
197,"[8916, 1074, 10]","[4600, 4812, 588]",401
198,"[8900, 1090, 10]","[4575, 4834, 591]",404
199,"[8884, 1106, 10]","[4550, 4856, 594]",408
200,"[8868, 1122, 10]","[4525, 4878, 597]",411
201,"[8852, 1138, 10]","[4500, 4900, 600]",415
202,"[8835, 1155, 10]","[4475, 4922, 603]",419
203,"[8819, 1171, 10]","[4450, 4944, 606]",422
204,"[8802, 1188, 10]","[4425, 4966, 609]",426
205,"[8785, 1205, 10]","[4400, 4988, 612]",429
206,"[8768, 1222, 10]","[4375, 5010, 615]",433
207,"[8750, 1240, 10]","[4350, 5032, 618]",437
208,"[8733, 1257, 10]","[4325, 5054, 621]",440
209,"[8715, 1275, 10]","[4300, 5076, 624]",444
210,"[8697, 1293, 10]","[4275, 5098, 627]",447
211,"[8679, 1311, 10]","[4250, 5120, 630]",451
212,"[8661, 1329, 10]","[4225, 5142, 633]",454
213,"[8642, 1348, 10]","[4200, 5164, 636]",458
214,"[8623, 1367, 10]","[4175, 5186, 639]",461
215,"[8605, 1385, 10]","[4150, 5208, 642]",465
216,"[8586, 1404, 10]","[4125, 5230, 645]",469
217,"[8566, 1424, 10]","[4100, 5252, 648]",472
218,"[8547, 1443, 10]","[4075, 5274, 651]",476
219,"[8527, 1463, 10]","[4050, 5296, 654]",479
220,"[8507, 1483, 10]","[4025, 5318, 657]",483
221,"[8487, 1503, 10]","[4000, 5340, 660]",486
222,"[8467, 1523, 10]","[3975, 5362, 663]",490
223,"[8447, 1543, 10]","[3950, 5384, 666]",493
224,"[8426, 1564, 10]","[3925, 5406, 669]",497
225,"[8405, 1585, 10]","[3900, 5428, 672]",500
226,"[8384, 1606, 10]","[3875, 5450, 675]",504
227,"[8363, 1627, 10]","[3850, 5472, 678]",507
228,"[8341, 1649, 10]","[3825, 5494, 681]",511
229,"[8320, 1670, 10]","[3800, 5516, 684]",514
230,"[8298, 1692, 10]","[3775, 5538, 687]",518
231,"[8276, 1714, 10]","[3750, 5560, 690]",522
232,"[8254, 1736, 10]","[3725, 5582, 693]",525
233,"[8231, 1759, 10]","[3700, 5604, 696]",529
234,"[8208, 1782, 10]","[3675, 5626, 699]",532
235,"[8186, 1804, 10]","[3650, 5648, 702]",536
236,"[8163, 1827, 10]","[3625, 5670, 705]",539
237,"[8139, 1851, 10]","[3600, 5692, 708]",543
238,"[8116, 1874, 10]","[3575, 5714, 711]",546
239,"[8092, 1898, 10]","[3550, 5736, 714]",549
240,"[8068, 1922, 10]","[3525, 5758, 717]",553
241,"[8044, 1946, 10]","[3500, 5780, 720]",556
242,"[8020, 1970, 10]","[3475, 5802, 723]",560
243,"[7995, 1995, 10]","[3450, 5824, 726]",563
244,"[7970, 2020, 10]","[3425, 5846, 729]",567
245,"[7946, 2044, 10]","[3400, 5868, 732]",570
246,"[7920, 2070, 10]","[3375, 5890, 735]",574
247,"[7895, 2095, 10]","[3350, 5912, 738]",577
248,"[7869, 2121, 10]","[3325, 5934, 741]",581
249,"[7844, 2146, 10]","[3300, 5956, 744]",584
250,"[7818, 2172, 10]","[3275, 5978, 747]",588
251,"[7791, 2199, 10]","[3250, 6000, 750]",591
252,"[7765, 2225, 10]","[3225, 6022, 753]",595
253,"[7738, 2252, 10]","[3200, 6044, 756]",598
254,"[7712, 2278, 10]","[3175, 6066, 759]",601
255,"[7685, 2305, 10]","[3150, 6088, 762]",605
256,"[7657, 2333, 10]","[3125, 6110, 765]",608
257,"[7630, 2360, 10]","[3100, 6132, 768]",612
258,"[7602, 2388, 10]","[3075, 6154, 771]",615
259,"[7574, 2416, 10]","[3050, 6176, 774]",619
260,"[7546, 2444, 10]","[3025, 6198, 777]",622
261,"[7518, 2472, 10]","[3000, 6220, 780]",626
262,"[7490, 2500, 10]","[2975, 6242, 783]",629
263,"[7461, 2529, 10]","[2950, 6264, 786]",632
264,"[7432, 2558, 10]","[2925, 6286, 789]",636
265,"[7403, 2587, 10]","[2900, 6308, 792]",639
266,"[7373, 2617, 10]","[2875, 6330, 795]",643
267,"[7344, 2646, 10]","[2850, 6352, 798]",646
268,"[7314, 2676, 10]","[2825, 6374, 801]",649
269,"[7284, 2706, 10]","[2800, 6396, 804]",653
270,"[7254, 2736, 10]","[2775, 6418, 807]",656
271,"[7224, 2766, 10]","[2750, 6440, 810]",660
272,"[7193, 2797, 10]","[2725, 6462, 813]",663
273,"[7163, 2827, 10]","[2700, 6484, 816]",666
274,"[7132, 2858, 10]","[2675, 6506, 819]",670
275,"[7100, 2890, 10]","[2650, 6528, 822]",673
276,"[7069, 2921, 10]","[2625, 6550, 825]",677
277,"[7038, 2952, 10]","[2600, 6572, 828]",680
278,"[7006, 2984, 10]","[2575, 6594, 831]",683
279,"[6974, 3016, 10]","[2550, 6616, 834]",687
280,"[6942, 3048, 10]","[2525, 6638, 837]",690
281,"[6909, 3081, 10]","[2500, 6660, 840]",693
282,"[6877, 3113, 10]","[2475, 6682, 843]",697
283,"[6844, 3146, 10]","[2450, 6704, 846]",700
284,"[6811, 3179, 10]","[2425, 6726, 849]",704
285,"[6778, 3212, 10]","[2400, 6748, 852]",707
286,"[6745, 3245, 10]","[2375, 6770, 855]",710
287,"[6711, 3279, 10]","[2350, 6792, 858]",714
288,"[6678, 3312, 10]","[2325, 6814, 861]",717
289,"[6644, 3346, 10]","[2300, 6836, 864]",720
290,"[6610, 3380, 10]","[2275, 6858, 867]",724
291,"[6576, 3414, 10]","[2250, 6880, 870]",727
292,"[6541, 3449, 10]","[2225, 6902, 873]",730
293,"[6507, 3483, 10]","[2200, 6924, 876]",734
294,"[6472, 3518, 10]","[2175, 6946, 879]",737
295,"[6437, 3553, 10]","[2150, 6968, 882]",740
296,"[6402, 3588, 10]","[2125, 6990, 885]",744
297,"[6367, 3623, 10]","[2100, 7012, 888]",747
298,"[6331, 3659, 10]","[2075, 7034, 891]",750
299,"[6296, 3694, 10]","[2050, 7056, 894]",754
300,"[6260, 3730, 10]","[2025, 7078, 897]",757
301,"[6224, 3766, 10]","[2000, 7100, 900]",760
302,"[6188, 3802, 10]","[1975, 7122, 903]",764
303,"[6152, 3838, 10]","[1950, 7144, 906]",767
304,"[6115, 3875, 10]","[1925, 7166, 909]",770
305,"[6079, 3911, 10]","[1900, 7188, 912]",774
306,"[6042, 3948, 10]","[1875, 7210, 915]",777
307,"[6005, 3985, 10]","[1850, 7232, 918]",780
308,"[5968, 4022, 10]","[1825, 7254, 921]",784
309,"[5931, 4059, 10]","[1800, 7276, 924]",787
310,"[5893, 4097, 10]","[1775, 7298, 927]",790
311,"[5856, 4134, 10]","[1750, 7320, 930]",793
312,"[5818, 4172, 10]","[1725, 7342, 933]",797
313,"[5780, 4210, 10]","[1700, 7364, 936]",800
314,"[5742, 4248, 10]","[1675, 7386, 939]",803
315,"[5704, 4286, 10]","[1650, 7408, 942]",807
316,"[5666, 4324, 10]","[1625, 7430, 945]",810
317,"[5628, 4362, 10]","[1600, 7452, 948]",813
318,"[5589, 4401, 10]","[1575, 7474, 951]",816
319,"[5551, 4439, 10]","[1550, 7496, 954]",820
320,"[5512, 4478, 10]","[1525, 7518, 957]",823
321,"[5473, 4517, 10]","[1500, 7540, 960]",826
322,"[5434, 4556, 10]","[1475, 7562, 963]",829
323,"[5395, 4595, 10]","[1450, 7584, 966]",833
324,"[5356, 4634, 10]","[1425, 7606, 969]",836
325,"[5317, 4673, 10]","[1400, 7628, 972]",839
326,"[5278, 4712, 10]","[1375, 7650, 975]",843
327,"[5238, 4752, 10]","[1350, 7672, 978]",846
328,"[5198, 4792, 10]","[1325, 7694, 981]",849
329,"[5159, 4831, 10]","[1300, 7716, 984]",852
330,"[5119, 4871, 10]","[1275, 7738, 987]",856
331,"[5079, 4911, 10]","[1250, 7760, 990]",859
332,"[5039, 4951, 10]","[1225, 7782, 993]",862
333,"[4999, 4991, 10]","[1200, 7804, 996]",865
334,"[4959, 5031, 10]","[1175, 7826, 999]",868
335,"[4919, 5071, 10]","[1150, 7848, 1002]",872
336,"[4879, 5111, 10]","[1125, 7870, 1005]",875
337,"[4838, 5152, 10]","[1100, 7892, 1008]",878
338,"[4798, 5192, 10]","[1075, 7914, 1011]",881
339,"[4757, 5233, 10]","[1050, 7936, 1014]",885
340,"[4717, 5273, 10]","[1025, 7958, 1017]",888
341,"[4676, 5314, 10]","[1000, 7980, 1020]",891
342,"[4635, 5355, 10]","[975, 7972, 1053]",894
343,"[4595, 5395, 10]","[975, 7964, 1061]",897
344,"[4554, 5436, 10]","[975, 7956, 1069]",901
345,"[4513, 5477, 10]","[975, 7948, 1077]",904
346,"[4472, 5518, 10]","[975, 7940, 1085]",907
347,"[4431, 5559, 10]","[975, 7932, 1093]",910
348,"[4390, 5600, 10]","[975, 7924, 1101]",913
349,"[4349, 5641, 10]","[975, 7916, 1109]",917
350,"[4308, 5682, 10]","[975, 7908, 1117]",920
351,"[4267, 5723, 10]","[975, 7900, 1125]",923
352,"[4226, 5764, 10]","[975, 7892, 1133]",926
353,"[4185, 5805, 10]","[975, 7884, 1141]",929
354,"[4144, 5846, 10]","[975, 7876, 1149]",932
355,"[4103, 5887, 10]","[975, 7868, 1157]",936
356,"[4062, 5928, 10]","[975, 7860, 1165]",939
357,"[4021, 5969, 10]","[975, 7852, 1173]",942
358,"[3980, 6010, 10]","[975, 7844, 1181]",945
359,"[3939, 6051, 10]","[975, 7836, 1189]",948
360,"[3898, 6092, 10]","[975, 7828, 1197]",951
361,"[3857, 6133, 10]","[975, 7820, 1205]",955
362,"[3816, 6174, 10]","[975, 7812, 1213]",958
363,"[3775, 6215, 10]","[975, 7804, 1221]",961
364,"[3734, 6256, 10]","[975, 7796, 1229]",964
365,"[3693, 6297, 10]","[975, 7788, 1237]",967
366,"[3652, 6338, 10]","[975, 7780, 1245]",970
367,"[3611, 6379, 10]","[975, 7772, 1253]",974
368,"[3570, 6420, 10]","[975, 7764, 1261]",977
369,"[3530, 6460, 10]","[975, 7756, 1269]",980
370,"[3489, 6501, 10]","[975, 7748, 1277]",983
371,"[3448, 6542, 10]","[975, 7740, 1285]",986
372,"[3408, 6582, 10]","[975, 7732, 1293]",989
373,"[3367, 6623, 10]","[975, 7724, 1301]",992
374,"[3327, 6663, 10]","[975, 7716, 1309]",995
375,"[3286, 6704, 10]","[975, 7708, 1317]",999
376,"[3246, 6744, 10]","[975, 7700, 1325]",1002
377,"[3206, 6784, 10]","[975, 7692, 1333]",1005
378,"[3166, 6824, 10]","[975, 7684, 1341]",1008
379,"[3126, 6864, 10]","[975, 7676, 1349]",1011
380,"[3086, 6904, 10]","[975, 7668, 1357]",1014
381,"[3046, 6944, 10]","[975, 7660, 1365]",1017
382,"[3006, 6984, 10]","[975, 7652, 1373]",1020
383,"[2966, 7024, 10]","[975, 7644, 1381]",1023
384,"[2927, 7063, 10]","[975, 7636, 1389]",1027
385,"[2888, 7102, 10]","[975, 7628, 1397]",1030
386,"[2848, 7142, 10]","[975, 7620, 1405]",1033
387,"[2809, 7181, 10]","[975, 7612, 1413]",1036
388,"[2770, 7220, 10]","[975, 7604, 1421]",1039
389,"[2731, 7259, 10]","[975, 7596, 1429]",1042
390,"[2692, 7298, 10]","[975, 7588, 1437]",1045
391,"[2654, 7336, 10]","[975, 7580, 1445]",1048
392,"[2615, 7375, 10]","[975, 7572, 1453]",1051
393,"[2577, 7413, 10]","[975, 7564, 1461]",1054
394,"[2539, 7451, 10]","[975, 7556, 1469]",1057
395,"[2501, 7489, 10]","[975, 7548, 1477]",1060
396,"[2463, 7527, 10]","[975, 7540, 1485]",1063
397,"[2426, 7564, 10]","[975, 7532, 1493]",1067
398,"[2388, 7602, 10]","[975, 7524, 1501]",1070
399,"[2351, 7639, 10]","[975, 7516, 1509]",1073
400,"[2314, 7676, 10]","[975, 7508, 1517]",1076
401,"[2277, 7713, 10]","[975, 7500, 1525]",1079
402,"[2240, 7750, 10]","[975, 7492, 1533]",1082
403,"[2204, 7786, 10]","[975, 7484, 1541]",1085
404,"[2167, 7823, 10]","[975, 7476, 1549]",1088
405,"[2131, 7859, 10]","[975, 7468, 1557]",1091
406,"[2095, 7895, 10]","[975, 7460, 1565]",1094
407,"[2060, 7930, 10]","[975, 7452, 1573]",1097
408,"[2024, 7966, 10]","[975, 7444, 1581]",1100
409,"[1989, 8001, 10]","[975, 7436, 1589]",1103
410,"[1954, 8036, 10]","[975, 7428, 1597]",1106
411,"[1919, 8071, 10]","[975, 7420, 1605]",1109
412,"[1885, 8105, 10]","[975, 7412, 1613]",1112
413,"[1851, 8139, 10]","[975, 7404, 1621]",1115
414,"[1817, 8173, 10]","[975, 7396, 1629]",1118
415,"[1783, 8207, 10]","[975, 7388, 1637]",1121
416,"[1749, 8241, 10]","[975, 7380, 1645]",1124
417,"[1716, 8274, 10]","[975, 7372, 1653]",1127
418,"[1683, 8307, 10]","[975, 7364, 1661]",1130
419,"[1650, 8340, 10]","[975, 7356, 1669]",1133
420,"[1618, 8372, 10]","[975, 7348, 1677]",1136
421,"[1586, 8404, 10]","[975, 7340, 1685]",1139
422,"[1554, 8436, 10]","[975, 7332, 1693]",1142
423,"[1522, 8468, 10]","[975, 7324, 1701]",1145
424,"[1491, 8499, 10]","[975, 7316, 1709]",1148
425,"[1460, 8530, 10]","[975, 7308, 1717]",1151
426,"[1429, 8561, 10]","[975, 7300, 1725]",1154
427,"[1399, 8591, 10]","[975, 7292, 1733]",1157
428,"[1368, 8622, 10]","[975, 7284, 1741]",1160
429,"[1339, 8651, 10]","[975, 7276, 1749]",1163
430,"[1309, 8681, 10]","[975, 7268, 1757]",1166
431,"[1280, 8710, 10]","[975, 7260, 1765]",1169
432,"[1251, 8739, 10]","[975, 7252, 1773]",1172
433,"[1223, 8767, 10]","[975, 7244, 1781]",1175
434,"[1194, 8796, 10]","[975, 7236, 1789]",1178
435,"[1166, 8824, 10]","[975, 7228, 1797]",1181
436,"[1139, 8851, 10]","[975, 7220, 1805]",1184
437,"[1112, 8878, 10]","[975, 7212, 1813]",1187
438,"[1085, 8905, 10]","[975, 7204, 1821]",1190
439,"[1058, 8932, 10]","[975, 7196, 1829]",1193
440,"[1032, 8958, 10]","[975, 7188, 1837]",1196
441,"[1006, 8984, 10]","[975, 7180, 1845]",1199
442,"[981, 9009, 10]","[975, 7172, 1853]",1201
443,"[956, 9034, 10]","[975, 7164, 1861]",1204
444,"[931, 9059, 10]","[975, 7156, 1869]",1207
445,"[907, 9083, 10]","[975, 7148, 1877]",1210
446,"[883, 9107, 10]","[975, 7140, 1885]",1213
447,"[859, 9131, 10]","[975, 7132, 1893]",1216
448,"[836, 9154, 10]","[975, 7124, 1901]",1219
449,"[813, 9177, 10]","[975, 7116, 1909]",1222
450,"[791, 9199, 10]","[975, 7108, 1917]",1225
451,"[768, 9222, 10]","[975, 7100, 1925]",1228
452,"[747, 9243, 10]","[975, 7092, 1933]",1231
453,"[725, 9265, 10]","[975, 7084, 1941]",1234
454,"[705, 9285, 10]","[975, 7076, 1949]",1237
455,"[684, 9306, 10]","[975, 7068, 1957]",1239
456,"[664, 9326, 10]","[975, 7060, 1965]",1242
457,"[644, 9346, 10]","[975, 7052, 1973]",1245
458,"[625, 9365, 10]","[975, 7044, 1981]",1248
459,"[606, 9384, 10]","[975, 7036, 1989]",1251
460,"[588, 9402, 10]","[975, 7028, 1997]",1254
461,"[570, 9420, 10]","[975, 7020, 2005]",1257
462,"[552, 9438, 10]","[975, 7012, 2013]",1260
463,"[535, 9455, 10]","[975, 7004, 2021]",1263
464,"[518, 9472, 10]","[975, 6996, 2029]",1265
465,"[502, 9488, 10]","[975, 6988, 2037]",1268
466,"[486, 9504, 10]","[975, 6980, 2045]",1271
467,"[470, 9520, 10]","[975, 6972, 2053]",1274
468,"[455, 9535, 10]","[975, 6964, 2061]",1277
469,"[440, 9550, 10]","[975, 6956, 2069]",1280
470,"[426, 9564, 10]","[975, 6948, 2077]",1283
471,"[412, 9578, 10]","[975, 6940, 2085]",1286
472,"[399, 9591, 10]","[975, 6932, 2093]",1288
473,"[386, 9604, 10]","[975, 6924, 2101]",1291
474,"[374, 9616, 10]","[975, 6916, 2109]",1294
475,"[362, 9628, 10]","[975, 6908, 2117]",1297
476,"[350, 9640, 10]","[975, 6900, 2125]",1300
477,"[339, 9651, 10]","[975, 6892, 2133]",1303
478,"[328, 9662, 10]","[975, 6884, 2141]",1305
479,"[318, 9672, 10]","[975, 6876, 2149]",1308
480,"[309, 9681, 10]","[975, 6868, 2157]",1311
481,"[299, 9691, 10]","[975, 6860, 2165]",1314
482,"[290, 9700, 10]","[975, 6852, 2173]",1317
483,"[282, 9708, 10]","[975, 6844, 2181]",1320
484,"[274, 9716, 10]","[975, 6836, 2189]",1322
485,"[267, 9723, 10]","[975, 6828, 2197]",1325
486,"[260, 9730, 10]","[975, 6820, 2205]",1328
