id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
6000048,60000480,60000481,60000482,1,0,53,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,5,1003,0,1007048,[6000049],300,50,0,0,406|6,0,,,
6000049,60000490,60000491,60000492,1,0,54,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,52,418|0,0,137,2,7000005,0,1007049,[6000050],350,50,0,0,,7000005,,,
6000050,60000500,60000501,60000502,1,0,55,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,52,,53,418|0,0,148,1,0,0,1007050,[6000051],350,50,0,0,419|0,0,,,
6000051,60000510,60000511,60000512,1,0,56,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,53,,54,418|0,0,123,15,0,0,1007051,[6000052],350,50,0,0,421|0,0,,,
6000052,60000520,60000521,60000522,1,0,57,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,54,,55,418|0,0,144,30,9012,0,1007052,[6000053],350,50,0,0,422|0,0,,,
6000053,60000530,60000531,60000532,1,0,58,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,55,,56,418|0,0,151,10,0,0,1007053,[6000054],350,50,0,0,410|0,0,,,
6000054,60000540,60000541,60000542,1,0,59,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,56,,57,418|0,0,142,14400,2,0,1007054,[6000055],350,50,0,0,406|2,0,,,
6000055,60000550,60000551,60000552,1,0,60,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,57,,,418|0,0,136,5,90053,0,1007055,[6000056],350,50,0,0,409|9005,0,,,
6000056,60000560,60000561,60000562,1,0,61,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,20,0,0,1007056,"[6000057, 6003000]",350,50,0,0,422|0,0,,,
6000057,60000570,60000571,60000572,1,0,62,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,1007057,[6000058],350,50,0,0,412|0,0,,,
6000058,60000580,60000581,60000582,1,0,63,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7001,0,1007058,[6000059],350,50,0,0,407|0,0,,,
6000059,60000590,60000591,60000592,1,0,64,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,2,0,0,1007059,[6000060],400,50,0,0,419|0,0,,,
6000060,60000600,60000601,60000602,1,0,65,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,149,1,0,0,1007060,[6000061],400,50,0,0,405|0,0,,,
6000061,60000610,60000611,60000612,1,0,66,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,2,7000006,0,1007061,[6000062],400,50,0,0,,7000006,,,
6000062,60000620,60000621,60000622,1,0,67,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,25,0,0,1007062,[6000063],400,50,0,0,421|0,0,,,
6000063,60000630,60000631,60000632,1,0,68,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,150,3000,0,0,1007063,[6000064],400,50,0,0,410|0,0,,,
6000064,60000640,60000641,60000642,1,0,69,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,67,418|0,0,114,70,100017,0,1007064,[6000065],400,50,0,0,412|100017,0,,,
6000065,60000650,60000651,60000652,1,0,70,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,67,,,418|0,0,136,5,90293,0,1007065,[6000066],400,50,0,0,409|9029,0,,,
6000066,60000660,60000661,60000662,1,0,71,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,69,418|0,0,143,1,0,0,1007066,[6000067],400,50,0,0,412|0,0,,,
6000067,60000670,60000671,60000672,1,0,72,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,69,,,418|0,0,142,3600,2,0,1007067,[6000068],400,50,0,0,406|2,0,,,
6000068,60000680,60000681,60000682,1,0,73,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,71,418|0,0,148,3,0,0,1007068,[6000069],400,50,0,0,419|0,0,,,
6000069,60000690,60000691,60000692,1,0,74,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,71,,,418|0,0,128,10,1006,0,1007069,[6000070],450,50,0,0,406|2,0,,,
6000070,60000700,60000701,60000702,1,0,75,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,25,0,0,1007070,[6000071],450,50,0,0,422|0,0,,,
6000071,60000710,60000711,60000712,1,0,76,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,74,418|0,0,113,3,1,0,1007071,[6000072],450,50,0,0,407|0,0,,,
6000072,60000720,60000721,60000722,1,0,77,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,74,,,418|0,0,128,6,7014,0,1007072,[6000073],450,50,0,0,407|0,0,,,
6000073,60000730,60000731,60000732,1,0,78,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,135,10000,0,0,1007073,[6000074],450,50,0,0,422|0,0,,,
6000074,60000740,60000741,60000742,1,0,79,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,35,0,0,1007074,[6000075],450,50,0,0,421|0,0,,,
6000075,60000750,60000751,60000752,1,0,80,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,119,10,0,0,1007075,[6000076],450,50,0,0,408|4,0,,,
6000076,60000760,60000761,60000762,1,0,81,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000005,0,1007076,[6000077],450,50,0,0,,7000005,,,
6000077,60000770,60000771,60000772,1,0,82,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,80,418|0,0,142,3600,0,0,1007077,[6000078],450,50,0,0,406|0,0,,,
6000078,60000780,60000781,60000782,1,0,83,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,80,,81,418|0,0,136,5,90223,0,1007078,[6000079],450,50,0,0,409|9022,0,,,
6000079,60000790,60000791,60000792,1,0,84,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,81,,,418|0,0,151,10,0,0,1007079,"[6000080, 6004000]",500,50,0,0,410|0,0,,,
6000080,60000800,60000801,60000802,1,0,85,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7002,0,1007080,[6000081],500,50,0,0,407|0,0,,,
6000081,60000810,60000811,60000812,1,0,86,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,1007081,[6000082],500,50,0,0,412|0,0,,,
6000082,60000820,60000821,60000822,1,0,87,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,3,0,0,1007082,[6000083],500,50,0,0,419|0,0,,,
6000083,60000830,60000831,60000832,1,0,88,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7017,0,1007083,[6000084],500,50,0,0,407|0,0,,,
6000084,60000840,60000841,60000842,1,0,89,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,110,3,6,0,1007084,[6000085],500,50,0,0,406|6,0,,,
6000085,60000850,60000851,60000852,1,0,90,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,35,0,0,1007085,[6000086],500,50,0,0,422|0,0,,,
6000086,60000860,60000861,60000862,1,0,91,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,88,418|0,0,136,5,90383,0,1007086,[6000087],500,50,0,0,409|9038,0,,,
6000087,60000870,60000871,60000872,1,0,92,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,88,,,418|0,0,135,20000,0,0,1007087,[6000088],500,50,0,0,422|0,0,,,
6000088,60000880,60000881,60000882,1,0,93,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000006,0,1007088,[6000089],500,50,0,0,,7000006,,,
6000089,60000890,60000891,60000892,1,0,94,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,92,418|0,0,122,3,6,0,1007089,[6000090],550,50,0,0,406|6,0,,,
6000090,60000900,60000901,60000902,1,0,95,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,92,,,418|0,0,128,6,7006,0,1007090,[6000091],550,50,0,0,407|0,0,,,
6000091,60000910,60000911,60000912,1,0,96,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,124,2,0,0,1007091,[6000092],550,50,0,0,402|0,0,,,
6000092,60000920,60000921,60000922,1,0,97,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,3,0,0,1007092,[6000093],550,50,0,0,419|0,0,,,
6000093,60000930,60000931,60000932,1,0,98,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,144,20,9128,0,1007093,[6000094],550,50,0,0,422|0,0,,,
6000094,60000940,60000941,60000942,1,0,99,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,142,3600,6,0,1007094,[6000095],550,50,0,0,406|6,0,,,
6000095,60000950,60000951,60000952,1,0,100,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,98,418|0,0,123,50,0,0,1007095,[6000096],550,50,0,0,421|0,0,,,
6000096,60000960,60000961,60000962,1,0,101,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,98,,,418|0,0,151,15,0,0,1007096,[6000097],550,50,0,0,410|0,0,,,
6000097,60000970,60000971,60000972,1,0,102,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,1007097,[6000098],550,50,0,0,412|0,0,,,
6000098,60000980,60000981,60000982,1,0,103,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,7007,0,1007098,[6000099],550,50,0,0,407|0,0,,,
6000099,60000990,60000991,60000992,1,0,104,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,136,5,90523,0,1007099,[6000100],600,50,0,0,409|9052,0,,,
6000100,60001000,60001001,60001002,1,0,105,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,109,40,0,0,1007100,[6000101],600,50,0,0,422|0,0,,,
6000101,60001010,60001011,60001012,1,0,106,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000007,0,1007101,[6000102],600,50,0,0,,7000007,,,
6000102,60001020,60001021,60001022,1,0,107,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,128,6,1025,0,1007102,[6000103],600,50,0,0,406|8,0,,,
6000103,60001030,60001031,60001032,1,0,108,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,123,55,0,0,1007103,[6000104],600,50,0,0,421|0,0,,,
6000104,60001040,60001041,60001042,1,0,109,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,136,5,90263,0,1007104,[6000105],600,50,0,0,409|9026,0,,,
6000105,60001050,60001051,60001052,1,0,110,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,148,3,0,0,1007105,[6000106],600,50,0,0,419|0,0,,,
6000106,60001060,60001061,60001062,1,0,111,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,113,2,2,0,1007106,[6000107],600,50,0,0,407|0,0,,,
6000107,60001070,60001071,60001072,1,0,112,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,144,20,9131,0,1007107,[6000108],600,50,0,0,422|0,0,,,
6000108,60001080,60001081,60001082,1,0,113,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,111,418|0,0,122,3,4,0,1007108,[6000109],600,50,0,0,406|4,0,,,
6000109,60001090,60001091,60001092,1,0,114,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,111,,,418|0,0,135,50000,0,0,1007109,[6000110],650,50,0,0,422|0,0,,,
6000110,60001100,60001101,60001102,1,0,115,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,120,6,0,0,1007110,[6000111],650,50,0,0,406|0,0,,,
6000111,60001110,60001111,60001112,1,0,116,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,116,10,0,0,1007111,[6000112],650,50,0,0,409|0,0,,,
6000112,60001120,60001121,60001122,1,0,117,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,137,3,7000008,0,1007112,[6000113],650,50,0,0,,7000008,,,
6000113,60001130,60001131,60001132,1,0,118,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,143,1,0,0,1007113,[6000114],650,50,0,0,412|0,0,,,
6000114,60001140,60001141,60001142,1,0,119,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,117,418|0,0,142,3600,2,0,1007114,[6000115],650,50,0,0,406|2,0,,,
6000115,60001150,60001151,60001152,1,0,120,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,117,,,418|0,0,136,5,90663,0,1007115,[6000116],650,50,0,0,409|9066,0,,,
6000116,60001160,60001161,60001162,1,0,121,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,142,3600,6,0,1007116,[6000117],650,50,0,0,406|6,0,,,
6000117,60001170,60001171,60001172,1,0,122,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,136,5,91333,0,1007117,[6000118],650,50,0,0,409|9133,0,,,
6000118,60001180,60001181,60001182,1,0,123,7000002,7000002&paxiu_1#paxu_2#paxu_3|7000003&laolun_1#laolun_2#laolun_3,,,,418|0,0,142,3600,4,0,1007118,[6000119],650,50,0,0,406|4,0,,,
