id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
90093,2,132,50,75,22|30|45|60|90,66,26,132,10,12,8,40,100
90094,2,165,50,75,22|30|45|60|90,82,33,165,10,12,8,40,100
90101,5,40,20,31,6|7|11|15|22,20,8,40,5,6,4,50,80
90102,5,44,20,31,6|7|11|15|22,22,8,44,5,6,4,50,80
90103,5,48,20,31,6|7|11|15|22,24,9,48,5,6,4,50,80
90104,5,60,20,31,6|7|11|15|22,30,12,60,5,6,4,50,80
90111,5,90,160,70,13|17|26|35|52,45,18,90,5,6,4,50,80
90112,5,99,160,70,13|17|26|35|52,49,19,99,5,6,4,50,80
90113,5,108,160,70,13|17|26|35|52,54,21,108,5,6,4,50,80
90114,5,135,160,70,13|17|26|35|52,67,27,135,5,6,4,50,80
90121,2,100,40,70,27|36|54|72|108,50,20,100,10,12,8,40,100
90122,2,110,40,70,27|36|54|72|108,55,22,110,10,12,8,40,100
90123,2,120,40,70,27|36|54|72|108,60,24,120,10,12,8,40,100
90124,2,150,40,70,27|36|54|72|108,75,30,150,10,12,8,40,100
90131,3,30,10,25,3|4|6|8|12,15,6,30,5,6,4,50,80
90132,3,33,10,25,3|4|6|8|12,16,6,33,5,6,4,50,80
90133,3,36,10,25,3|4|6|8|12,18,7,36,5,6,4,50,80
90134,3,45,10,25,3|4|6|8|12,22,9,45,5,6,4,50,80
90141,3,100,40,70,21|28|42|56|84,50,20,100,10,12,8,40,100
90142,3,110,40,70,21|28|42|56|84,55,22,110,10,12,8,40,100
90143,3,120,40,70,21|28|42|56|84,60,24,120,10,12,8,40,100
90144,3,150,40,70,21|28|42|56|84,75,30,150,10,12,8,40,100
90151,3,230,90,145,70|93|139|186|278,115,46,230,15,18,12,35,114
90152,3,253,90,145,70|93|139|186|278,126,50,253,15,18,12,35,114
90153,3,276,90,145,70|93|139|186|278,138,55,276,15,18,12,35,114
90154,3,345,90,145,70|93|139|186|278,172,69,345,15,18,12,35,114
90161,3,150,80,120,31|42|62|83|125,75,30,150,10,12,8,40,100
90162,3,165,80,120,31|42|62|83|125,82,33,165,10,12,8,40,100
90163,3,180,80,120,31|42|62|83|125,90,36,180,10,12,8,40,100
90164,3,225,80,120,31|42|62|83|125,112,45,225,10,12,8,40,100
90171,3,480,190,285,194|258|387|516|774,240,96,480,20,24,16,30,133
90172,3,528,190,285,194|258|387|516|774,264,105,528,20,24,16,30,133
90173,3,576,190,285,194|258|387|516|774,288,115,576,20,24,16,30,133
90174,3,720,190,285,194|258|387|516|774,360,144,720,20,24,16,30,133
90181,3,2050,620,935,1209|1611|2417|3223|4834,1025,410,2050,25,30,20,20,200
90182,3,2255,620,935,1209|1611|2417|3223|4834,1127,451,2255,25,30,20,20,200
90183,3,2460,620,935,1209|1611|2417|3223|4834,1230,492,2460,25,30,20,20,200
90184,3,3075,620,935,1209|1611|2417|3223|4834,1537,615,3075,25,30,20,20,200
90191,3,20,10,23,3|4|6|8|12,10,4,20,5,6,4,50,80
90192,3,22,10,23,3|4|6|8|12,11,4,22,5,6,4,50,80
90193,3,24,10,23,3|4|6|8|12,12,4,24,5,6,4,50,80
90194,3,30,10,23,3|4|6|8|12,15,6,30,5,6,4,50,80
90201,3,480,170,257,284|379|568|757|1136,240,96,480,20,24,16,30,133
90202,3,528,170,257,284|379|568|757|1136,264,105,528,20,24,16,30,133
90203,3,576,170,257,284|379|568|757|1136,288,115,576,20,24,16,30,133
90204,3,720,170,257,284|379|568|757|1136,360,144,720,20,24,16,30,133
90211,3,110,60,90,35|47|71|94|142,55,22,110,10,12,8,40,100
90212,3,121,60,90,35|47|71|94|142,60,24,121,10,12,8,40,100
90213,3,132,60,90,35|47|71|94|142,66,26,132,10,12,8,40,100
90214,3,165,60,90,35|47|71|94|142,82,33,165,10,12,8,40,100
90221,3,10,10,15,3|3|5|7|10,5,2,10,5,6,4,50,80
90222,3,11,10,15,3|3|5|7|10,5,2,11,5,6,4,50,80
90223,3,12,10,15,3|3|5|7|10,6,2,12,5,6,4,50,80
90224,3,15,10,15,3|3|5|7|10,7,3,15,5,6,4,50,80
90231,3,530,170,265,308|411|616|821|1232,265,106,530,20,24,16,30,133
90232,3,583,170,265,308|411|616|821|1232,291,116,583,20,24,16,30,133
90233,3,636,170,265,308|411|616|821|1232,318,127,636,20,24,16,30,133
90234,3,795,170,265,308|411|616|821|1232,397,159,795,20,24,16,30,133
90241,2,30,20,30,3|4|6|8|12,15,6,30,5,6,4,50,80
90242,2,33,20,30,3|4|6|8|12,16,6,33,5,6,4,50,80
90243,2,36,20,30,3|4|6|8|12,18,7,36,5,6,4,50,80
90244,2,45,20,30,3|4|6|8|12,22,9,45,5,6,4,50,80
90251,4,110,50,81,29|38|57|76|114,55,22,110,10,12,8,40,100
90252,4,121,50,81,29|38|57|76|114,60,24,121,10,12,8,40,100
90253,4,132,50,81,29|38|57|76|114,66,26,132,10,12,8,40,100
90254,4,165,50,81,29|38|57|76|114,82,33,165,10,12,8,40,100
90261,4,280,110,169,86|115|172|230|344,140,56,280,15,18,12,35,114
90262,4,308,110,169,86|115|172|230|344,154,61,308,15,18,12,35,114
90263,4,336,110,169,86|115|172|230|344,168,67,336,15,18,12,35,114
90264,4,420,110,169,86|115|172|230|344,210,84,420,15,18,12,35,114
90271,4,130,60,100,26|35|52|69|104,65,26,130,10,12,8,40,100
90272,4,143,60,100,26|35|52|69|104,71,28,143,10,12,8,40,100
90273,4,156,60,100,26|35|52|69|104,78,31,156,10,12,8,40,100
90274,4,195,60,100,26|35|52|69|104,97,39,195,10,12,8,40,100
90281,4,1660,580,875,831|1108|1662|2216|3324,830,332,1660,25,30,20,20,200
90282,4,1826,580,875,831|1108|1662|2216|3324,913,365,1826,25,30,20,20,200
90283,4,1992,580,875,831|1108|1662|2216|3324,996,398,1992,25,30,20,20,200
90284,4,2490,580,875,831|1108|1662|2216|3324,1245,498,2490,25,30,20,20,200
90291,4,30,10,28,4|5|8|10|15,15,6,30,5,6,4,50,80
90292,4,33,10,28,4|5|8|10|15,16,6,33,5,6,4,50,80
90293,4,36,10,28,4|5|8|10|15,18,7,36,5,6,4,50,80
90294,4,45,10,28,4|5|8|10|15,22,9,45,5,6,4,50,80
90301,4,30,20,30,6|7|11|15|22,15,6,30,5,6,4,50,80
90302,4,33,20,30,6|7|11|15|22,16,6,33,5,6,4,50,80
90303,4,36,20,30,6|7|11|15|22,18,7,36,5,6,4,50,80
90304,4,45,20,30,6|7|11|15|22,22,9,45,5,6,4,50,80
90311,4,130,60,100,38|51|76|101|152,65,26,130,10,12,8,40,100
90312,4,143,60,100,38|51|76|101|152,71,28,143,10,12,8,40,100
90313,4,156,60,100,38|51|76|101|152,78,31,156,10,12,8,40,100
90314,4,195,60,100,38|51|76|101|152,97,39,195,10,12,8,40,100
90321,4,730,290,435,468|623|935|1247|1870,365,146,730,20,24,16,30,133
90322,4,803,290,435,468|623|935|1247|1870,401,160,803,20,24,16,30,133
90323,4,876,290,435,468|623|935|1247|1870,438,175,876,20,24,16,30,133
90324,4,1095,290,435,468|623|935|1247|1870,547,219,1095,20,24,16,30,133
90331,1,120,60,95,41|54|81|108|162,60,24,120,10,12,8,40,100
90332,1,132,60,95,41|54|81|108|162,66,26,132,10,12,8,40,100
90333,1,144,60,95,41|54|81|108|162,72,28,144,10,12,8,40,100
90334,1,180,60,95,41|54|81|108|162,90,36,180,10,12,8,40,100
90341,1,360,130,200,153|204|306|408|612,180,72,360,15,18,12,35,114
90342,1,396,130,200,153|204|306|408|612,198,79,396,15,18,12,35,114
90343,1,432,130,200,153|204|306|408|612,216,86,432,15,18,12,35,114
90344,1,540,130,200,153|204|306|408|612,270,108,540,15,18,12,35,114
90351,1,150,60,100,42|56|84|112|168,75,30,150,10,12,8,40,100
90352,1,165,60,100,42|56|84|112|168,82,33,165,10,12,8,40,100
90353,1,180,60,100,42|56|84|112|168,90,36,180,10,12,8,40,100
90354,1,225,60,100,42|56|84|112|168,112,45,225,10,12,8,40,100
90361,1,290,120,185,116|154|232|309|463,145,58,290,15,18,12,35,114
90362,1,319,120,185,116|154|232|309|463,159,63,319,15,18,12,35,114
90363,1,348,120,185,116|154|232|309|463,174,69,348,15,18,12,35,114
90364,1,435,120,185,116|154|232|309|463,217,87,435,15,18,12,35,114
90371,1,670,230,353,403|538|806|1075|1613,335,134,670,20,24,16,30,133
90372,1,737,230,353,403|538|806|1075|1613,368,147,737,20,24,16,30,133
90373,1,804,230,353,403|538|806|1075|1613,402,160,804,20,24,16,30,133
90374,1,1005,230,353,403|538|806|1075|1613,502,201,1005,20,24,16,30,133
90381,1,30,10,28,4|5|8|11|16,15,6,30,5,6,4,50,80
90382,1,33,10,28,4|5|8|11|16,16,6,33,5,6,4,50,80
90383,1,36,10,28,4|5|8|11|16,18,7,36,5,6,4,50,80
90384,1,45,10,28,4|5|8|11|16,22,9,45,5,6,4,50,80
90391,1,590,190,295,344|459|688|917|1376,295,118,590,20,24,16,30,133
90392,1,649,190,295,344|459|688|917|1376,324,129,649,20,24,16,30,133
90393,1,708,190,295,344|459|688|917|1376,354,141,708,20,24,16,30,133
90394,1,885,190,295,344|459|688|917|1376,442,177,885,20,24,16,30,133
90401,1,300,110,177,90|120|180|240|360,150,60,300,15,18,12,35,114
90402,1,330,110,177,90|120|180|240|360,165,66,330,15,18,12,35,114
90403,1,360,110,177,90|120|180|240|360,180,72,360,15,18,12,35,114
90404,1,450,110,177,90|120|180|240|360,225,90,450,15,18,12,35,114
90411,1,320,120,190,111|148|223|297|445,160,64,320,15,18,12,35,114
90412,1,352,120,190,111|148|223|297|445,176,70,352,15,18,12,35,114
90413,1,384,120,190,111|148|223|297|445,192,76,384,15,18,12,35,114
90414,1,480,120,190,111|148|223|297|445,240,96,480,15,18,12,35,114
90421,1,400,150,227,235|314|470|627|941,200,80,400,20,24,16,30,133
90422,1,440,150,227,235|314|470|627|941,220,88,440,20,24,16,30,133
90423,1,480,150,227,235|314|470|627|941,240,96,480,20,24,16,30,133
90424,1,600,150,227,235|314|470|627|941,300,120,600,20,24,16,30,133
90431,1,930,310,466,508|677|1016|1355|2032,465,186,930,20,24,16,30,133
90432,1,1023,310,466,508|677|1016|1355|2032,511,204,1023,20,24,16,30,133
90433,1,1116,310,466,508|677|1016|1355|2032,558,223,1116,20,24,16,30,133
90434,1,1395,310,466,508|677|1016|1355|2032,697,279,1395,20,24,16,30,133
90441,2,160,60,100,32|43|64|85|128,80,32,160,10,12,8,40,100
90442,2,176,60,100,32|43|64|85|128,88,35,176,10,12,8,40,100
90443,2,192,60,100,32|43|64|85|128,96,38,192,10,12,8,40,100
90444,2,240,60,100,32|43|64|85|128,120,48,240,10,12,8,40,100
90451,2,1420,470,710,740|987|1480|1973|2960,710,284,1420,25,30,20,20,200
90452,2,1562,470,710,740|987|1480|1973|2960,781,312,1562,25,30,20,20,200
90453,2,1704,470,710,740|987|1480|1973|2960,852,340,1704,25,30,20,20,200
90454,2,2130,470,710,740|987|1480|1973|2960,1065,426,2130,25,30,20,20,200
90461,2,470,170,264,190|253|380|507|760,235,94,470,20,24,16,30,133
90462,2,517,170,264,190|253|380|507|760,258,103,517,20,24,16,30,133
90463,2,564,170,264,190|253|380|507|760,282,112,564,20,24,16,30,133
90464,2,705,170,264,190|253|380|507|760,352,141,705,20,24,16,30,133
90471,2,600,200,302,290|387|581|774|1162,300,120,600,20,24,16,30,133
90472,2,660,200,302,290|387|581|774|1162,330,132,660,20,24,16,30,133
90473,2,720,200,302,290|387|581|774|1162,360,144,720,20,24,16,30,133
90474,2,900,200,302,290|387|581|774|1162,450,180,900,20,24,16,30,133
90481,2,470,180,280,190|254|381|508|762,235,94,470,20,24,16,30,133
90482,2,517,180,280,190|254|381|508|762,258,103,517,20,24,16,30,133
90483,2,564,180,280,190|254|381|508|762,282,112,564,20,24,16,30,133
90484,2,705,180,280,190|254|381|508|762,352,141,705,20,24,16,30,133
90491,4,130,50,87,34|46|68|91|137,65,26,130,10,12,8,40,100
90492,4,143,50,87,34|46|68|91|137,71,28,143,10,12,8,40,100
90493,4,156,50,87,34|46|68|91|137,78,31,156,10,12,8,40,100
90494,4,195,50,87,34|46|68|91|137,97,39,195,10,12,8,40,100
90501,2,320,120,194,145|193|290|386|580,160,64,320,15,18,12,35,114
90502,2,352,120,194,145|193|290|386|580,176,70,352,15,18,12,35,114
90503,2,384,120,194,145|193|290|386|580,192,76,384,15,18,12,35,114
90504,2,480,120,194,145|193|290|386|580,240,96,480,15,18,12,35,114
90511,4,550,230,348,268|358|536|715|1073,275,110,550,15,18,12,35,114
90512,4,605,230,348,268|358|536|715|1073,302,121,605,15,18,12,35,114
90513,4,660,230,348,268|358|536|715|1073,330,132,660,15,18,12,35,114
90514,4,825,230,348,268|358|536|715|1073,412,165,825,15,18,12,35,114
90521,3,110,60,90,27|37|55|73|110,55,22,110,10,12,8,40,100
90522,3,121,60,90,27|37|55|73|110,60,24,121,10,12,8,40,100
90523,3,132,60,90,27|37|55|73|110,66,26,132,10,12,8,40,100
90524,3,165,60,90,27|37|55|73|110,82,33,165,10,12,8,40,100
90531,4,690,230,348,414|551|827|1103|1654,345,138,690,20,24,16,30,133
90532,4,759,230,348,414|551|827|1103|1654,379,151,759,20,24,16,30,133
90533,4,828,230,348,414|551|827|1103|1654,414,165,828,20,24,16,30,133
90534,4,1035,230,348,414|551|827|1103|1654,517,207,1035,20,24,16,30,133
90541,4,620,230,348,289|386|578|771|1157,310,124,620,15,18,12,35,114
90542,4,682,230,348,289|386|578|771|1157,341,136,682,15,18,12,35,114
90543,4,744,230,348,289|386|578|771|1157,372,148,744,15,18,12,35,114
90544,4,930,230,348,289|386|578|771|1157,465,186,930,15,18,12,35,114
90551,4,240,100,153,88|117|175|234|350,120,48,240,15,18,12,35,114
90552,4,264,100,153,88|117|175|234|350,132,52,264,15,18,12,35,114
90553,4,288,100,153,88|117|175|234|350,144,57,288,15,18,12,35,114
90554,4,360,100,153,88|117|175|234|350,180,72,360,15,18,12,35,114
90561,3,660,260,393,308|410|616|821|1231,330,132,660,15,18,12,35,114
90562,3,726,260,393,308|410|616|821|1231,363,145,726,15,18,12,35,114
90563,3,792,260,393,308|410|616|821|1231,396,158,792,15,18,12,35,114
90564,3,990,260,393,308|410|616|821|1231,495,198,990,15,18,12,35,114
90571,2,170,70,110,65|86|130|173|259,85,34,170,15,18,12,35,114
90572,2,187,70,110,65|86|130|173|259,93,37,187,15,18,12,35,114
90573,2,204,70,110,65|86|130|173|259,102,40,204,15,18,12,35,114
90574,2,255,70,110,65|86|130|173|259,127,51,255,15,18,12,35,114
90581,1,290,110,165,107|143|214|286|428,145,58,290,15,18,12,35,114
90582,1,319,110,165,107|143|214|286|428,159,63,319,15,18,12,35,114
90583,1,348,110,165,107|143|214|286|428,174,69,348,15,18,12,35,114
90584,1,435,110,165,107|143|214|286|428,217,87,435,15,18,12,35,114
90591,1,330,130,195,126|168|253|337|505,165,66,330,15,18,12,35,114
90592,1,363,130,195,126|168|253|337|505,181,72,363,15,18,12,35,114
90593,1,396,130,195,126|168|253|337|505,198,79,396,15,18,12,35,114
90594,1,495,130,195,126|168|253|337|505,247,99,495,15,18,12,35,114
90601,1,240,100,155,89|119|179|238|358,120,48,240,15,18,12,35,114
90602,1,264,100,155,89|119|179|238|358,132,52,264,15,18,12,35,114
90603,1,288,100,155,89|119|179|238|358,144,57,288,15,18,12,35,114
90604,1,360,100,155,89|119|179|238|358,180,72,360,15,18,12,35,114
90611,1,400,150,225,174|232|348|464|696,200,80,400,20,24,16,30,133
90612,1,440,150,225,174|232|348|464|696,220,88,440,20,24,16,30,133
90613,1,480,150,225,174|232|348|464|696,240,96,480,20,24,16,30,133
90614,1,600,150,225,174|232|348|464|696,300,120,600,20,24,16,30,133
90621,1,1810,630,954,1156|1541|2312|3083|4624,905,362,1810,25,30,20,20,200
90622,1,1991,630,954,1156|1541|2312|3083|4624,995,398,1991,25,30,20,20,200
90623,1,2172,630,954,1156|1541|2312|3083|4624,1086,434,2172,25,30,20,20,200
90624,1,2715,630,954,1156|1541|2312|3083|4624,1357,543,2715,25,30,20,20,200
90631,1,310,120,188,114|152|227|303|455,155,62,310,15,18,12,35,114
90632,1,341,120,188,114|152|227|303|455,170,68,341,15,18,12,35,114
90633,1,372,120,188,114|152|227|303|455,186,74,372,15,18,12,35,114
90634,1,465,120,188,114|152|227|303|455,232,93,465,15,18,12,35,114
90641,1,510,180,270,229|306|458|611|917,255,102,510,20,24,16,30,133
90642,1,561,180,270,229|306|458|611|917,280,112,561,20,24,16,30,133
90643,1,612,180,270,229|306|458|611|917,306,122,612,20,24,16,30,133
90644,1,765,180,270,229|306|458|611|917,382,153,765,20,24,16,30,133
90651,1,300,120,188,139|185|277|370|554,150,60,300,15,18,12,35,114
90652,1,330,120,188,139|185|277|370|554,165,66,330,15,18,12,35,114
90653,1,360,120,188,139|185|277|370|554,180,72,360,15,18,12,35,114
90654,1,450,120,188,139|185|277|370|554,225,90,450,15,18,12,35,114
90661,1,140,50,86,62|82|124|165|247,70,28,140,15,18,12,35,114
90662,1,154,50,86,62|82|124|165|247,77,30,154,15,18,12,35,114
90663,1,168,50,86,62|82|124|165|247,84,33,168,15,18,12,35,114
90664,1,210,50,86,62|82|124|165|247,105,42,210,15,18,12,35,114
90671,1,1870,650,988,943|1257|1885|2513|3770,935,374,1870,25,30,20,20,200
90672,1,2057,650,988,943|1257|1885|2513|3770,1028,411,2057,25,30,20,20,200
90673,1,2244,650,988,943|1257|1885|2513|3770,1122,448,2244,25,30,20,20,200
90674,1,2805,650,988,943|1257|1885|2513|3770,1402,561,2805,25,30,20,20,200
90681,1,1670,580,882,874|1165|1747|2329|3494,835,334,1670,25,30,20,20,200
90682,1,1837,580,882,874|1165|1747|2329|3494,918,367,1837,25,30,20,20,200
90683,1,2004,580,882,874|1165|1747|2329|3494,1002,400,2004,25,30,20,20,200
90684,1,2505,580,882,874|1165|1747|2329|3494,1252,501,2505,25,30,20,20,200
90691,1,490,190,290,245|327|490|654|981,245,98,490,20,24,16,30,133
90692,1,539,190,290,245|327|490|654|981,269,107,539,20,24,16,30,133
90693,1,588,190,290,245|327|490|654|981,294,117,588,20,24,16,30,133
90694,1,735,190,290,245|327|490|654|981,367,147,735,20,24,16,30,133
90701,1,510,180,270,277|370|554|739|1109,255,102,510,20,24,16,30,133
90702,1,561,180,270,277|370|554|739|1109,280,112,561,20,24,16,30,133
90703,1,612,180,270,277|370|554|739|1109,306,122,612,20,24,16,30,133
90704,1,765,180,270,277|370|554|739|1109,382,153,765,20,24,16,30,133
90711,1,340,120,192,116|154|231|308|462,170,68,340,15,18,12,35,114
90712,1,374,120,192,116|154|231|308|462,187,74,374,15,18,12,35,114
90713,1,408,120,192,116|154|231|308|462,204,81,408,15,18,12,35,114
90714,1,510,120,192,116|154|231|308|462,255,102,510,15,18,12,35,114
90721,2,870,300,463,523|697|1046|1394|2091,435,174,870,20,24,16,30,133
90722,2,957,300,463,523|697|1046|1394|2091,478,191,957,20,24,16,30,133
90723,2,1044,300,463,523|697|1046|1394|2091,522,208,1044,20,24,16,30,133
90724,2,1305,300,463,523|697|1046|1394|2091,652,261,1305,20,24,16,30,133
90731,2,270,100,155,120|160|239|319|479,135,54,270,15,18,12,35,114
90732,2,297,100,155,120|160|239|319|479,148,59,297,15,18,12,35,114
90733,2,324,100,155,120|160|239|319|479,162,64,324,15,18,12,35,114
90734,2,405,100,155,120|160|239|319|479,202,81,405,15,18,12,35,114
90741,4,310,120,187,105|140|209|279|419,155,62,310,15,18,12,35,114
90742,4,341,120,187,105|140|209|279|419,170,68,341,15,18,12,35,114
90743,4,372,120,187,105|140|209|279|419,186,74,372,15,18,12,35,114
90744,4,465,120,187,105|140|209|279|419,232,93,465,15,18,12,35,114
90751,2,2470,820,1236,1486|1981|2972|3963|5944,1235,494,2470,25,30,20,20,200
90752,2,2717,820,1236,1486|1981|2972|3963|5944,1358,543,2717,25,30,20,20,200
90753,2,2964,820,1236,1486|1981|2972|3963|5944,1482,592,2964,25,30,20,20,200
90754,2,3705,820,1236,1486|1981|2972|3963|5944,1852,741,3705,25,30,20,20,200
90761,1,1180,370,566,594|792|1188|1584|2376,590,236,1180,25,30,20,20,200
90762,1,1298,370,566,594|792|1188|1584|2376,649,259,1298,25,30,20,20,200
90763,1,1416,370,566,594|792|1188|1584|2376,708,283,1416,25,30,20,20,200
90764,1,1770,370,566,594|792|1188|1584|2376,885,354,1770,25,30,20,20,200
90771,3,2300,730,1099,1404|1871|2807|3743|5614,1150,460,2300,25,30,20,20,200
90772,3,2530,730,1099,1404|1871|2807|3743|5614,1265,506,2530,25,30,20,20,200
90773,3,2760,730,1099,1404|1871|2807|3743|5614,1380,552,2760,25,30,20,20,200
90774,3,3450,730,1099,1404|1871|2807|3743|5614,1725,690,3450,25,30,20,20,200
90781,3,1840,580,879,923|1230|1845|2460|3690,920,368,1840,25,30,20,20,200
90782,3,2024,580,879,923|1230|1845|2460|3690,1012,404,2024,25,30,20,20,200
90783,3,2208,580,879,923|1230|1845|2460|3690,1104,441,2208,25,30,20,20,200
90784,3,2760,580,879,923|1230|1845|2460|3690,1380,552,2760,25,30,20,20,200
90791,1,2100,630,956,1221|1627|2441|3255|4882,1050,420,2100,25,30,20,20,200
90792,1,2310,630,956,1221|1627|2441|3255|4882,1155,462,2310,25,30,20,20,200
90793,1,2520,630,956,1221|1627|2441|3255|4882,1260,504,2520,25,30,20,20,200
90794,1,3150,630,956,1221|1627|2441|3255|4882,1575,630,3150,25,30,20,20,200
90801,2,600,200,300,240|320|480|640|960,300,120,600,20,24,16,30,133
90802,2,660,200,300,240|320|480|640|960,330,132,660,20,24,16,30,133
90803,2,720,200,300,240|320|480|640|960,360,144,720,20,24,16,30,133
90804,2,900,200,300,240|320|480|640|960,450,180,900,20,24,16,30,133
90811,3,560,190,295,224|299|448|597|896,280,112,560,20,24,16,30,133
90812,3,616,190,295,224|299|448|597|896,308,123,616,20,24,16,30,133
90813,3,672,190,295,224|299|448|597|896,336,134,672,20,24,16,30,133
90814,3,840,190,295,224|299|448|597|896,420,168,840,20,24,16,30,133
90821,2,2010,670,1005,1005|1340|2010|2680|4020,1005,402,2010,25,30,20,20,200
90822,2,2211,670,1005,1005|1340|2010|2680|4020,1105,442,2211,25,30,20,20,200
90823,2,2412,670,1005,1005|1340|2010|2680|4020,1206,482,2412,25,30,20,20,200
90824,2,3015,670,1005,1005|1340|2010|2680|4020,1507,603,3015,25,30,20,20,200
90831,4,450,180,270,184|245|367|490|734,225,90,450,20,24,16,30,133
90832,4,495,180,270,184|245|367|490|734,247,99,495,20,24,16,30,133
90833,4,540,180,270,184|245|367|490|734,270,108,540,20,24,16,30,133
90834,4,675,180,270,184|245|367|490|734,337,135,675,20,24,16,30,133
90841,2,1820,600,910,910|1213|1820|2427|3640,910,364,1820,25,30,20,20,200
90842,2,2002,600,910,910|1213|1820|2427|3640,1001,400,2002,25,30,20,20,200
90843,2,2184,600,910,910|1213|1820|2427|3640,1092,436,2184,25,30,20,20,200
90844,2,2730,600,910,910|1213|1820|2427|3640,1365,546,2730,25,30,20,20,200
90851,4,1910,600,914,960|1279|1919|2559|3838,955,382,1910,25,30,20,20,200
90852,4,2101,600,914,960|1279|1919|2559|3838,1050,420,2101,25,30,20,20,200
90853,4,2292,600,914,960|1279|1919|2559|3838,1146,458,2292,25,30,20,20,200
90854,4,2865,600,914,960|1279|1919|2559|3838,1432,573,2865,25,30,20,20,200
90861,4,270,120,180,111|148|222|296|444,135,54,270,15,18,12,35,114
90862,4,297,120,180,111|148|222|296|444,148,59,297,15,18,12,35,114
90863,4,324,120,180,111|148|222|296|444,162,64,324,15,18,12,35,114
90864,4,405,120,180,111|148|222|296|444,202,81,405,15,18,12,35,114
90871,4,370,140,210,140|187|281|374|562,185,74,370,15,18,12,35,114
90872,4,407,140,210,140|187|281|374|562,203,81,407,15,18,12,35,114
90873,4,444,140,210,140|187|281|374|562,222,88,444,15,18,12,35,114
90874,4,555,140,210,140|187|281|374|562,277,111,555,15,18,12,35,114
90881,4,560,190,295,328|437|656|875|1312,280,112,560,20,24,16,30,133
90882,4,616,190,295,328|437|656|875|1312,308,123,616,20,24,16,30,133
90883,4,672,190,295,328|437|656|875|1312,336,134,672,20,24,16,30,133
90884,4,840,190,295,328|437|656|875|1312,420,168,840,20,24,16,30,133
90891,1,1530,530,806,794|1058|1587|2116|3174,765,306,1530,25,30,20,20,200
90892,1,1683,530,806,794|1058|1587|2116|3174,841,336,1683,25,30,20,20,200
90893,1,1836,530,806,794|1058|1587|2116|3174,918,367,1836,25,30,20,20,200
90894,1,2295,530,806,794|1058|1587|2116|3174,1147,459,2295,25,30,20,20,200
