id,分组,妖精[fairy],内容
125,b94,100116,不小心在水面上飘太久了...
126,b95,100116,已经吹干了哦...这是我找到的宝物，给你~
127,b96,100096,来了来了来了！这次要砸掉什么？
128,b97,100096,识相的话就不要挡在我的面前啊。
129,b98,100096,有没有找到什么？去那边的碎块堆里看看吧！
130,b99,100096,放心吧，我不会对比我弱的家伙动手的。
131,b100,100096,这个亮晶晶的东西...可以砸掉吗？不可以...?
132,b101,100082,那是什么？罐头里面没有呢...
133,b102,100082,因为是罐头，所以一直都是新鲜的哦。嗯？已经打开了...？
134,b103,100082,你问我的味道怎么样？大概是咸的...
135,b104,100082,这是什么？可以帮我看看吗？...怎么拿走了！
136,b105,100082,外面的光线好刺眼！
137,b106,100086,那是什么？罐头里面没有呢...
138,b107,100086,因为是罐头，所以一直都是新鲜的哦。嗯？已经打开了...？
139,b108,100086,你问我的味道怎么样？当然是辣的吧。
140,b109,100086,这是什么？可以帮我看看吗？...怎么拿走了！
141,b110,100086,外面的光线好刺眼！
142,b111,100084,那是什么？罐头里面没有呢...
143,b112,100084,因为是罐头，所以一直都是新鲜的哦。嗯？已经打开了...？
144,b113,100084,你问我的味道怎么样？应该是甜的吧？
145,b114,100084,这是什么？可以帮我看看吗？...怎么拿走了！
146,b115,100084,外面的光线好刺眼！
147,b116,100022,有需要灌溉的地方吗？
148,b117,100022,空气的湿度明显不够呢！
149,b118,100022,就算是寻宝的过程中也不要忘记好好休息哦。
150,b119,100022,要不要喝点水呢？
151,b120,100022,感觉要下雨了呢...会出现什么样的宝物呢？
152,b121,100072,从现在开始要做些什么呢？
153,b122,100072,不可以随便乱吃颜色鲜艳的蘑菇哦？
154,b123,100072,好想躺到灰的尾巴上...不知道她会不会同意呢。
155,b124,100072,觉得饿了吗？我们来野餐吧~
156,b125,100072,捡到了奇怪的东西...会是谁的遗失物吗？
157,b126,100066,果然，我还是更喜欢随心所欲地行动呢。
158,b127,100066,离红远一点...那家伙是我的“猎物”。
159,b128,100066,找到了不错的东西，感兴趣的话...我们来做个交易怎么样？
160,b129,100066,敢在别人面前乱说我坏话的话就把你吃掉！
161,b130,100066,我才不会在半夜三更的时候去偷别人家的小孩！
162,b131,100056,我是火莱姆哦！
163,b132,100056,跑来跑去好累~！
164,b133,100056,诶？不可以哦！这个瓶子是我的私人物品啦！
165,b134,100056,认不清我和其他的莱姆吗？那也没关系啦！
166,b135,100056,找到了有趣的东西呢！想要夸夸我也没问题哦？
167,b136,100128,谨慎能捕千秋蝉，小心驶得万年船。
168,b137,100128,虽不饵而钓，却是收获颇丰呢。
169,b138,100128,对于妖精来说，保持神秘感也是非常重要的呢...
170,b139,100128,...我的钓钩好像挂到什么东西了，能帮我一下吗？
171,b140,100128,一人一杆一整天，清清闲闲又一年...
172,b141,100124,你...你要对我做什么？
173,b142,100124,抱歉，请和我保持3m左右的距离。
174,b143,100124,想、想被长枪刺穿吗！？不要小看我！
175,b144,100124,找到了宝物，要怎么办才好呢...
176,b145,100124,哼...我才不相信你们说的话。
177,b146,100040,啊...家乡的樱花...
178,b147,100040,除了金币以外的东西，都可以给你！
179,b148,100040,居然真的捡到了金币！你、你说要物归原主？！
180,b149,100040,好...好吧！如果你真的需要的话，就拿走它吧...
181,b150,100040,阿斯隆德虽然是个好地方，但我不太想回到金库里去呀。
182,b151,100027,哼哼~♪让我们开始打扫吧！
183,b152,100027,就连最偏僻的角落也不可以放过哦？
184,b153,100027,对喜欢拖拖拉拉的家伙，用这个来敲一敲吧！
185,b154,100027,这个脏兮兮的...诶？不是垃圾吗？
186,b155,100027,好想念可爱的妹妹们呀...
187,b156,100024,这里的地理位置真是不错呢。
188,b157,100024,似乎有宝藏的预感...
189,b158,100024,嘘...稍微安静一些，让我听听看大地说了什么。
190,b159,100024,千里之行，始于足下。
191,b160,100024,即便是微小的石块，也有它们所对应的价值。
192,b161,100044,我，现在在哪里？
193,b162,100044,罗恩说，石头不用浇水...但是它们很可爱。
194,b163,100044,咚咚、哐哐...只要装满水，里面就不是空空的了。
195,b164,100044,喜欢的东西...到底是什么呢？
196,b165,100044,“心”是这个样子的吗？我找到了...原来不是啊...
197,b166,100106,咔嗒、咔嗒...钟表的齿轮已经开始转动。
198,b167,100106,无忧无虑便是时间设下的陷阱。
199,b168,100106,...寻找到了，是珍贵的宝物？亦或是皇后遗失的藏品？
200,b169,100106,集中注意，寻找宝藏...打起精神，它们来了。
201,b170,100106,就算盯着我看，时间的流逝也不会变慢的。
202,b171,100003,你受伤了吗？让我来帮你包扎一下吧，很快就能好起来哦。
203,b172,100003,注意不要摔倒了哦。
204,b173,100003,不会很痛的啦！不要害怕，乖~
205,b174,100003,你说绷带缠得太多了？非常抱歉...！
206,b175,100003,呜呜唔...哈啊...一不小心把自己缠住了...
207,b176,100021,哪里会有珍贵的宝石呢...
208,b177,100021,它们是会“说话”的，也拥有生命。
209,b178,100021,想要那块小石头...作为交换，给你我找到的小东西吧。
210,b179,100021,好累...果然我应该多锻炼一下吗？
211,b180,100021,每个人都有自己的爱好，所以说我才不是公子哥！
212,b181,100023,喂，不要破坏环境啊！
213,b182,100023,用完的东西不要丢在草坪上！！
214,b183,100023,我才不是纵火犯啊，根本不像吧！？
215,b184,100023,看我把讨厌的家伙统统轰走！
216,b185,100023,我才不是啰嗦，只是嘱咐而已。
217,b186,100026,大家累了吗？稍微休息一下怎么样？
218,b187,100026,感觉好凉快~是宝物的气息也说不定。
219,b188,100026,我来帮忙搜集炼金的材料吧。
220,b189,100026,稍微再努力一下的话，应该还能找到更多...
221,b190,100026,不知道我有没有留下一个好的印象呢...
222,b191,100004,那边的！是在偷懒吗？做好跑2000米的准备吧！
223,b192,100004,天才出于勤奋，都给我动起来！
224,b193,100004,勤劳一日，可得一夜安眠；勤劳一生，可得幸福长眠。
225,b194,100004,只有劳动才是神圣的，刚刚在偷懒的家伙都给我到那边排队。
226,b195,100004,即使是妖精也应该勤勉自律，那可不是人类的特权。
227,b196,100122,哼，现在的年轻人都太不懂事了...
228,b197,100122,总有人在背后说我老顽固...我一定要抓到那家伙。
229,b198,100122,什么新时代的炼金术，不过都是些邪门歪道罢了。
230,b199,100122,唉...还是老老实实务农比较好！
231,b200,100122,收成看起来还不错，这下老板应该也会高兴吧。
232,b201,100142,...看什么？我可不会把你拖到实验台上。
233,b202,100142,吼吼，这个看起来能够成为不错的素材，可以交给我吗？
234,b203,100142,喝下去吧，没事的，只是缓解疲劳的药物而已...应该。
235,b204,100142,你在犹豫什么？来，快喝吧。
236,b205,100142,好想快点回去，格蕾应该等了很久吧。
237,b206,100042,哈哈哈哈哈哈！我终于自由了！
238,b207,100042,不想遭罪的话，我的事情你最好少管一些。
239,b208,100042,我找到的东西，有多少是真正到了你手上的呢？
240,b209,100042,快点结束？我倒希望晚一些...不，最好不要结束！
241,b210,100042,跑吧、尽情地逃吧！都离得远远的！
242,b211,100064,哈啊啊......（哈欠）
243,b212,100064,那是什么？看起来好厉害...
244,b213,100064,我觉得，发呆和冥想没有本质上的区别...嗯嗯。
245,b214,100064,贤者和人类的区别其实没有大家想象得那么大。
246,b215,100064,俗话说“格物致知”...我盯...
247,b216,100098,来和我一起玩嘛~~
248,b217,100098,好啦好啦，不要绷着脸，笑一笑嘛~
249,b218,100098,我喜欢夏日暖洋洋的风...才不喜欢冷风啦！
250,b219,100098,诶嘿...放心吧！我不会对你做太过分的事情的啦~
251,b220,100098,呜、感觉有点冷，好想睡一会...
252,b221,100140,就放心地交给我吧~
253,b222,100140,...不过，也不用太着急嘛。
254,b223,100140,俗话说，欲速则不达、慢工出细活...
255,b224,100140,嗯...？你说我的头上怎么了？
256,b225,100140,掘地三尺...一日一尺~
257,b226,100136,为什么这样看着我？我只负责脑力工作。
258,b227,100136,根本没有设计美感啊...真想好好改造一番。
259,b228,100136,那种小屋就连廉价住宅都算不上，最多可以说是遗址吧。
260,b229,100136,再给我一点用于思考的时间。
261,b230,100136,怎么了？建筑大师的徒弟可远远不止值这点价钱。
262,b231,100092,请记住我，只有心中的足迹不会被风雪掩埋。
263,b232,100092,往事终究会被遗忘，远方的未来才是我们应当前往的终点...
264,b233,100092,为你寻得的物品，也是构成你我之间联系的因果之一哦。
265,b234,100092,风儿啊...就算只是一次也好，请回答我吧...
266,b235,100092,...会有人记住我吗？
267,b236,100078,有什么需要我们记录的事情吗~
268,b237,100078,其实我并不擅长外出工作啦...
269,b238,100078,如果我没办法帮上忙的话，我还有其他的姐妹哦。
270,b239,100078,莎希又偷偷跑到哪里去了...
271,b240,100078,偶尔也会想像这样放松一下呀~
272,b241,100074,有什么需要我们记录的事情吗~
273,b242,100074,其实我并不擅长外出工作啦...
274,b243,100074,如果我没办法帮上忙的话，我还有其他的姐妹哦。
275,b244,100074,诶、刚刚好像看到莎希急急忙忙地跑过去了...
276,b245,100074,偶尔也会想像这样放松一下呀~
277,b246,100080,有什么需要我们记录的事情吗~
278,b247,100080,其实我并不擅长外出工作啦...
279,b248,100080,如果我没办法帮上忙的话，我还有其他的姐妹哦。
280,b249,100080,嘘...不要告诉莎弥我偷偷跑出来了啦。
281,b250,100080,偶尔也会想像这样放松一下呀~
282,b251,100076,有什么需要我们记录的事情吗~
283,b252,100076,其实我并不擅长外出工作啦...
284,b253,100076,如果我没办法帮上忙的话，我还有其他的姐妹哦。
285,b254,100076,咦？莎缪在偷偷看什么呢？
286,b255,100076,偶尔也会想像这样放松一下呀~
287,b256,100052,我是石莱姆...呜，咬到舌头惹..
288,b257,100052,一动不动...果然守株待兔是不行的嘛。
289,b258,100052,...不要拿走我的瓶子啦。
290,b259,100052,认不清我和其他的莱姆？只要看我们的眼睛就可以啦。
291,b260,100052,找到了你可能会需要的东西...给你哦。
292,b261,100054,人家是水莱姆啦~才不是水母！
293,b262,100054,静静观察...找到了！
294,b263,100054,不要抢走人家的家啦！只是瓶子？不对！！
295,b264,100054,认不清我和其他的莱姆吗？只要看我们的发色就好啦！
296,b265,100054,找到了珍贵的东西，稍等一下我把它包装起来哦！
297,b266,100062,让我看看这里会不会有新鲜的故事素材呢。
298,b267,100062,感觉可以撰写一则跌宕起伏的寻宝奇谭呢。
299,b268,100062,噢噢...！这会不会是来自失落旧文明的遗物呢？
300,b269,100062,大家都辛苦了，我会好好地把你们写进故事里的！
301,b270,100062,有没有更好一些的故事呢...
302,b271,100007,我给大家准备了甜食哦~
303,b272,100007,是要冰淇淋还是小蛋糕呢...？
304,b273,100007,这个可以用来当甜点的装饰点缀呢！
305,b274,100007,大家都要变得甜甜的！
306,b275,100007,点心在那边啦！我不是...不要吃我！
307,b276,100100,...大家都是很要好的朋友呢。
308,b277,100100,什么时候才会出现呢，那个人...
309,b278,100100,会对我感到恐惧也是难免的...呢。
310,b279,100100,不要害怕...希望你能收下这个。
311,b280,100100,被信任的感觉到底是什么样的呢？
312,b281,100046,激动人心的寻宝冒险又要开始了！
313,b282,100046,放心交给我吧，我一定会带回成吨的宝藏的！
314,b283,100046,宝藏归你，探险时的激动心情归我哦。
315,b284,100046,失败也没有关系，重振旗鼓再出发！
316,b285,100046,嘿嘿...我在你心里的形象一下子变得高大起来了吧？
317,b286,100029,...让我按照自己的节奏来做，没问题吧？
318,b287,100029,贝蒂她...没有恶意的，请不要放在心上。
319,b288,100029,如果要“奉上”什么的话，我还是很擅长的。
320,b289,100029,请不要太在意，只是我想要这样做而已。
321,b290,100029,...要吃水果吗？
322,b291,100070,好好！让我开始食物取材吧！
323,b292,100070,虽然我的厨艺天下第一，但也不至于能把石头做得很好吃...
324,b293,100070,你说工作时间不能喝...好、好吧！！
325,b294,100070,不要太纠结细枝末节的事情，就像是料酒一样...~！
326,b295,100070,噢噢！这个一定能够成为上好的食材！
327,b296,100120,注意安全，这种粗重活交给我来干就好了。
328,b297,100120,寻宝不是我的目的，我只想有个寄托。
329,b298,100120,下一步的指示是什么？
330,b299,100120,虽然有些许不舍，但我也已经...不想再流浪了。
331,b300,100120,我还是有些不太适应集团行动啊...
332,b301,100108,放心吧，我可是守口如瓶的妖精哦。
333,b302,100108,秘密~？你说的是怎么样的秘密呢？
334,b303,100108,失落的藏宝地什么的...我才不知道啦。
335,b304,100108,如果要搜集炼金材料的话，让我也出一份力吧。
336,b305,100108,我很可靠吧？可以放心把秘密都交给我哦。
337,b306,100102,我...想要点燃人们心中渴求已久的希望。
338,b307,100102,大家都要好好相处哦。
339,b308,100102,请、请不要害怕！我不会烫伤你的...
340,b309,100102,我、我有帮上忙吗...？
341,b310,100102,不知道大家是怎么看待我的呢...
342,b311,100126,大...大家好~呜、该说些什么好呢...
343,b312,100126,请不要太在意我的事情...
344,b313,100126,我会努力的...加油！希瓦！
345,b314,100126,好像找到用得上的东西...请收下吧。
346,b315,100126,总有一天，我也可以成为能言善辩的妖精吗？
347,b316,100025,寻宝活动？对我来说，也是难得的实地考察哦。
348,b317,100025,嗯嗯...我想这个应该能够派上用场。
349,b318,100025,我的研究进度能够飞速进展，都是多亏了你哦。
350,b319,100025,琉璃岛还有许多等待解开的谜团。
351,b320,100025,无论做什么都必须要有耐心。
352,b321,100104,嘿！嘿！我会为大家应援的~！
353,b322,100104,为了成为真正的偶像，走上舞台...我会努力的！
354,b323,100104,可以的话，希望可以和喜欢雨天的妖精们一起呢。
355,b324,100104,我的鼓声，感觉怎么样？灵魂的深处也在鼓动对吧！
356,b325,100104,呜哇...对不起！我不是故意放出电来的...！
357,b326,100118,听说有位叫乌拉的妖精也十分精通厨艺，真想比试一番呢！~
358,b327,100118,不知道这次能够寻找到怎样的美食呢...
359,b328,100118,我喜欢各种独特的烹饪手法。
360,b329,100118,总有一天...我会成为天下一绝的料理家！
361,b330,100118,大家~辛苦了！让我用美食好好地犒劳一番吧！
362,b331,100088,嘿嘿，我和“这家伙”都会好好加油的哦。
363,b332,100088,喔喔...似乎夹到了不错的东西嘛~到这边来到这边来。
364,b333,100088,我和“这家伙”有时候意外地可以派上用场呢，这就是所谓的出奇制胜？
365,b334,100088,嘛啊...不管怎么样，能为老板办事都是我的荣幸啦。
366,b335,100088,虽然好像什么都没做...但还是辛苦我啦。
367,b336,100138,哇——外面的世界不管看几次都觉得好有趣~
368,b337,100138,嘿嘿...如果找到了好玩的东西的话，可以也分我一点吗~
369,b338,100138,因为我是烧不完的，所以可以一直一直~地留下来哦。
370,b339,100138,好开心...以后我也可以多出来玩吗？
371,b340,100138,就算不把我换下去也是可以的哦？
372,,0,
373,,0,
374,N,0,今天的占卜说我们的运气会很好。
375,N,0,砂砾中也许会有金矿哦…
376,N,0,这条道路的尽头有什么在等着我们吗？
377,N,0,否极泰来，下次一定会找到更好的！
378,N,0,大家也要加把劲，就快到点下班啦！
379,N,0,这个地方以前是这样子的吗？
380,N,0,我好像有不好的预感…
381,N,0,前面那些是宝藏吗？！
382,N,0,我们走在寻宝的小路上~
383,N,0,没问题吧大家！一鼓作气探索下去吧！
